Computer,TotalMemoryGB,UsedMemoryPercentageWithSymbol,"Free_RAM",FreeMemoryGB,UsedMemoryGB,UsedMemoryPercentage
ACMDPBD53,32,"35.21%",Healthy,"20.733508342208026","11.266491657791974","35.21"
ACMDPBD212,32,"34.29%",Healthy,"21.025738775510202","10.974261224489798","34.29"
ACMDPBD43,98,"34.06%",Healthy,"64.62157710736469","33.378422892635314","34.06"
ACMDPBD122,98,"34.02%",Healthy,"64.65838183108588","33.341618168914124","34.02"
ACMDPBD42,98,"33.49%",Healthy,"65.18065962732919","32.81934037267081","33.49"
ACMDPBD175,32,"33.22%",Healthy,"21.36858136645963","10.63141863354037","33.22"
ACMDPBD177,32,"32.96%",Healthy,"21.45279162229322","10.54720837770678","32.96"
ACMDPBD17,32,"32.66%",Healthy,"21.549632055378062","10.450367944621938","32.66"
ACMDPBD09,98,"32.17%",Healthy,"66.47438041163946","31.52561958836054","32.17"
PREMSPSBD30,131,"31.15%",Healthy,"90.18712109375","40.812878906250006","31.15"
PREMSPSBD115,32,"31.04%",Healthy,"22.06742400568182","9.932575994318182","31.04"
PREMSPSBD70,131,"30.38%",Healthy,"91.19671306818182","39.80328693181818","30.38"
ACMDPPR80,262,"30.24%",Healthy,"182.78240070984918","79.21759929015082","30.24"
ACMDPBD63,32,"29.78%",Healthy,"22.47072759538598","9.52927240461402","29.78"
ACMDPAP126,32,"29.02%",Healthy,"22.714914995563444","9.285085004436556","29.02"
PREMSPSBD123,32,"28.84%",Healthy,"22.772019832052887","9.227980167947113","28.84"
ACMDPBD57,98,"28.5%",Healthy,"70.06886566104703","27.931134338952972","28.5"
ACMDPBD201,32,"27.82%",Healthy,"23.096443222143364","8.903556777856636","27.82"
ACMDPBD46,98,"27.74%",Healthy,"70.81877125110914","27.18122874889086","27.74"
PREMSPSBD36,32,"27.12%",Healthy,"23.32197247869318","8.67802752130682","27.12"
DMSPSPR121,32,"26.69%",Healthy,"23.460622159090907","8.539377840909093","26.69"
ACMDPAP123,32,"26.56%",Healthy,"23.499361441505414","8.500638558494586","26.56"
PREMSPSPR91,32,"26.23%",Healthy,"23.60582087697497","8.39417912302503","26.23"
PREMSPSBD183,131,"25.92%",Healthy,"97.04996449494054","33.95003550505946","25.92"
PREMSPSBD141,32,"25.55%",Healthy,"23.825432173295457","8.174567826704543","25.55"
EMSPSAP21,32,"25.24%",Healthy,"23.922387468938588","8.077612531061412","25.24"
PREMSPSBD130,32,"25.09%",Healthy,"23.970727224294084","8.029272775705916","25.09"
ACMDPBD230,32,"24.93%",Healthy,"24.023451109139305","7.976548890860695","24.93"
