Computer,Disk,DiskMBPerSecondAverage
ACMDPBD126,"G:","4959.05"
ACMDPBD126,"F:","2541.74"
ACMDPBD126,"H:","1469.39"
ACMDPBD126,"T:","520.26"
ACMDPBD126,"S:","452.87"
ACMDPBD126,"Q:","292.07"
ACMDPBD126,"I:","283.49"
ACMDPBD126,"C:","183.35"
ACMDPBD126,"M:","175.66"
ACMDPBD126,"L:","95.38"
ACMDPBD126,"K:","33.71"
ACMDPBD126,"R:","5.11"
ACMDPBD126,"J:","4.98"
ACMDPBD126,"D:","3.97"
ACMDPBD126,"N:","0.02"
ACMDPBD126,"X:",0
ACMDPBD126,"Y:",0
ACMDPBD126,"P:",0
ACMDPBD127,"E:","1883.71"
ACMDPBD127,"C:","165.41"
ACMDPBD127,"F:","35.62"
ACMDPBD127,"G:","11.81"
ACMDPBD127,"D:","2.62"
ACMDPBD127,"P:",0
ACMDPBD127,"H:",0
ACMDPBD128,"F:","33363.53"
ACMDPBD128,"E:","392.7"
ACMDPBD128,"G:","299.05"
ACMDPBD128,"C:","211.73"
ACMDPBD128,"D:","6.57"
ACMDPBD128,"H:",0
ACMDPBD128,"P:",0
ACMDPBD136,"F:","79697.75"
ACMDPBD136,"E:",8573
ACMDPBD136,"N:","2743.68"
ACMDPBD136,"M:","2626.95"
ACMDPBD136,"K:","2574.18"
ACMDPBD136,"J:","1833.27"
ACMDPBD136,"L:","1816.14"
ACMDPBD136,"H:","979.76"
ACMDPBD136,"C:","179.65"
ACMDPBD136,"D:","79.9"
ACMDPBD136,"I:","28.6"
ACMDPBD136,"G:",0
ACMDPBD136,"P:",0
ACMDPBD137,"H:","35670.99"
ACMDPBD137,"F:","783.58"
ACMDPBD137,"E:","777.53"
ACMDPBD137,"C:","173.33"
ACMDPBD137,"I:","53.71"
ACMDPBD137,"D:","30.16"
ACMDPBD137,"K:","9.56"
ACMDPBD137,"L:","5.59"
ACMDPBD137,"X:",0
ACMDPBD137,"P:",0
ACMDPBD137,"G:",0
ACMDPBD139,"H:","27645.86"
ACMDPBD139,"E:","4572.19"
ACMDPBD139,"F:","795.93"
ACMDPBD139,"C:","395.61"
ACMDPBD139,"L:","238.84"
ACMDPBD139,"K:","104.16"
ACMDPBD139,"P:","44.74"
ACMDPBD139,"I:","40.2"
ACMDPBD139,"D:","8.95"
ACMDPBD139,"X:","0.22"
ACMDPBD139,"G:","0.01"
ACMDPBD14,"C:","252.66"
ACMDPBD14,"F:","3.9"
ACMDPBD14,"D:","1.76"
ACMDPBD14,"E:","0.07"
ACMDPBD14,"G:","0.01"
ACMDPBD14,"P:",0
ACMDPBD140,"H:","27202.89"
ACMDPBD140,"E:","4096.95"
ACMDPBD140,"F:","799.8"
ACMDPBD140,"C:","410.03"
ACMDPBD140,"L:","227.6"
ACMDPBD140,"K:","106.76"
ACMDPBD140,"P:","42.08"
ACMDPBD140,"I:","38.16"
ACMDPBD140,"D:","11.59"
ACMDPBD140,"X:","0.99"
ACMDPBD140,"G:","0.05"
ACMDPBD141,"H:","3713.4"
ACMDPBD141,"C:","121.29"
ACMDPBD141,"F:","76.07"
ACMDPBD141,"I:","49.27"
ACMDPBD141,"D:","40.8"
ACMDPBD141,"E:","30.39"
ACMDPBD141,"J:",0
ACMDPBD142,"F:","47252.45"
ACMDPBD142,"E:","14240.35"
ACMDPBD142,"H:","6721.06"
ACMDPBD142,"C:","284.66"
ACMDPBD142,"I:","207.64"
ACMDPBD142,"D:","51.74"
ACMDPBD142,"J:","4.77"
ACMDPBD145,"C:","233.54"
ACMDPBD145,"D:","24.29"
ACMDPBD145,"H:","15.63"
ACMDPBD145,"E:","15.53"
ACMDPBD145,"M:","6.29"
ACMDPBD145,"J:","4.88"
ACMDPBD145,"K:","4.46"
ACMDPBD145,"F:","3.5"
ACMDPBD145,"I:","0.93"
ACMDPBD145,"L:","0.54"
ACMDPBD151,"F:","741.09"
ACMDPBD151,"E:","583.66"
ACMDPBD151,"C:","156.06"
ACMDPBD151,"H:","32.54"
ACMDPBD151,"I:","3.83"
ACMDPBD151,"D:","2.43"
ACMDPBD152,"E:","11622.3"
ACMDPBD152,"F:","2205.87"
ACMDPBD152,"H:","1371.85"
ACMDPBD152,"C:","154.82"
ACMDPBD152,"I:","11.5"
ACMDPBD152,"D:","6.92"
ACMDPBD152,"G:",0
ACMDPBD157,"E:","822.06"
ACMDPBD157,"C:","141.07"
ACMDPBD157,"D:","5.56"
ACMDPBD157,"F:","4.61"
ACMDPBD158,"C:","139.99"
ACMDPBD158,"F:","3.91"
ACMDPBD158,"D:","2.41"
ACMDPBD158,"E:","0.05"
ACMDPBD165,"K:","21316.19"
ACMDPBD165,"E:","19955.2"
ACMDPBD165,"H:","6990.14"
ACMDPBD165,"M:","6699.87"
ACMDPBD165,"G:","2996.91"
ACMDPBD165,"I:","1192.63"
ACMDPBD165,"F:","445.51"
ACMDPBD165,"J:","378.41"
ACMDPBD165,"C:","230.87"
ACMDPBD165,"D:","19.33"
ACMDPBD165,"L:","1.66"
ACMDPBD165,"P:",0
ACMDPBD166,"C:","152.34"
ACMDPBD166,"I:","34.84"
ACMDPBD166,"D:","14.38"
ACMDPBD166,"F:","5.37"
ACMDPBD166,"J:","3.99"
ACMDPBD166,"E:","0.86"
ACMDPBD166,"H:","0.24"
ACMDPBD166,"P:",0
ACMDPBD167,"C:","164.21"
ACMDPBD167,"D:","5.69"
ACMDPBD167,"L:",0
ACMDPBD167,"P:",0
ACMDPBD167,"H:",0
ACMDPBD167,"F:",0
ACMDPBD167,"I:",0
ACMDPBD167,"E:",0
ACMDPBD167,"K:",0
ACMDPBD167,"J:",0
ACMDPBD17,"C:","133.69"
ACMDPBD17,"D:","10.89"
ACMDPBD17,"F:","0.41"
ACMDPBD17,"E:",0
ACMDPBD175,"C:","174.77"
ACMDPBD175,"O:","9.27"
ACMDPBD175,"D:","5.06"
ACMDPBD175,"E:","1.62"
ACMDPBD175,"F:","0.43"
ACMDPBD175,"P:",0
ACMDPBD176,"F:","997.44"
ACMDPBD176,"C:","584.29"
ACMDPBD176,"E:","168.39"
ACMDPBD176,"O:","141.75"
ACMDPBD176,"D:","7.37"
ACMDPBD176,"P:",0
ACMDPBD177,"C:","173.76"
ACMDPBD177,"O:","10.06"
ACMDPBD177,"D:","2.07"
ACMDPBD177,"E:","1.61"
ACMDPBD177,"F:","0.42"
ACMDPBD177,"P:",0
ACMDPBD177,"Z:",0
ACMDPBD187,"K:","8064.68"
ACMDPBD187,"E:","1816.79"
ACMDPBD187,"J:","910.59"
ACMDPBD187,"C:","834.04"
ACMDPBD187,"H:",448
ACMDPBD187,"L:","444.61"
ACMDPBD187,"P:","209.16"
ACMDPBD187,"F:","188.8"
ACMDPBD187,"I:","68.78"
ACMDPBD187,"D:","13.33"
ACMDPBD187,"G:","0.61"
ACMDPBD188,"F:","31271.5"
ACMDPBD188,"K:","12822.85"
ACMDPBD188,"E:","8569.24"
ACMDPBD188,"J:","4327.91"
ACMDPBD188,"H:","1535.73"
ACMDPBD188,"L:","1397.42"
ACMDPBD188,"I:","779.49"
ACMDPBD188,"C:","598.89"
ACMDPBD188,"P:","283.07"
ACMDPBD188,"D:","35.26"
ACMDPBD19,"E:","1679.01"
ACMDPBD19,"F:","624.12"
ACMDPBD19,"C:","347.95"
ACMDPBD19,"D:","3.34"
ACMDPBD190,"E:","383194.4"
ACMDPBD190,"S:","25973.71"
ACMDPBD190,"I:","24202.41"
ACMDPBD190,"F:","1651.6"
ACMDPBD190,"C:","298.99"
ACMDPBD190,"D:","4.11"
ACMDPBD192,"C:","270.08"
ACMDPBD192,"P:","197.12"
ACMDPBD192,"E:","97.51"
ACMDPBD192,"F:","84.13"
ACMDPBD192,"H:","45.87"
ACMDPBD192,"D:","6.03"
