Computer,Disk,DiskMBPerSecondAverage
ACMDPPR80,"D:","8.85"
ACMDPPR83,"C:","180.12"
ACMDPPR83,"E:","0.1"
ACMDPPR83,"D:","0.06"
ACMDPPR85,"E:","1172.11"
ACMDPPR85,"C:","237.81"
ACMDPPR85,"F:","26.2"
ACMDPPR85,"G:","7.59"
ACMDPPR85,"D:","0.38"
ACMDPPR92,"C:","259.96"
ACMDPPR92,"D:","1.08"
ACMDPPR93,"C:","368.94"
ACMDPPR93,"D:","55.33"
ACMDPPR94,"C:","333.81"
ACMDPPR94,"D:","55.24"
ACMDPPR96,"C:","343.06"
ACMDPPR96,"D:","53.49"
DMSPSAP122,"C:","807.79"
DMSPSAP122,"D:","63.96"
DMSPSAP131,"C:","477.79"
DMSPSAP131,"D:","0.21"
DMSPSAP131,"P:",0
DMSPSAP14,"C:","334.54"
DMSPSAP14,"D:","1.21"
DMSPSAP14,"A:",0
DMSPSAP221,"C:","504.9"
DMSPSAP221,"D:",0
DMSPSAP30,"C:","317.13"
DMSPSAP30,"D:",0
DMSPSAP30,"E:",0
DMSPSAP60,"C:","306.79"
DMSPSAP60,"F:",0
DMSPSAP60,"E:",0
DMSPSAP61,"C:","311.95"
DMSPSAP61,"D:",0
DMSPSAP61,"E:",0
DMSPSBD101,"C:","373.02"
DMSPSBD101,"F:","3.96"
DMSPSBD101,"D:","1.99"
DMSPSBD101,"E:","0.55"
DMSPSBD11,"C:","353.43"
DMSPSBD11,"D:","6.3"
DMSPSBD11,"F:","4.16"
DMSPSBD11,"G:","1.46"
DMSPSBD11,"E:","0.78"
DMSPSBD11,"I:",0
DMSPSBD11,"H:",0
DMSPSBD111,"C:","397.68"
DMSPSBD111,"F:","4.13"
DMSPSBD111,"D:","1.74"
DMSPSBD111,"E:","0.64"
DMSPSBD121,"C:","442.59"
DMSPSBD121,"H:","86.4"
DMSPSBD121,"F:","84.35"
DMSPSBD121,"D:","5.24"
DMSPSBD121,"E:","0.59"
DMSPSBD121,"G:","0.04"
DMSPSBD122,"C:","541.28"
DMSPSBD122,"F:","91.77"
DMSPSBD122,"H:","35.17"
DMSPSBD122,"D:","5.81"
DMSPSBD122,"E:","0.79"
DMSPSBD122,"G:","0.13"
DMSPSBD131,"C:","374.8"
DMSPSBD131,"F:","9.63"
DMSPSBD131,"D:","3.97"
DMSPSBD131,"E:","2.06"
DMSPSBD131,"G:",0
DMSPSBD221,"C:","341.64"
DMSPSBD221,"I:","4.09"
DMSPSBD221,"D:","1.92"
DMSPSBD221,"G:","1.89"
DMSPSBD221,"H:","0.05"
DMSPSBD221,"F:",0
DMSPSBD221,"E:",0
DMSPSBD231,"C:","356.26"
DMSPSBD231,"F:","3.81"
DMSPSBD231,"G:","1.69"
DMSPSBD231,"D:","1.47"
DMSPSBD231,"E:","0.05"
DMSPSBD30,"C:","313.2"
DMSPSBD30,"G:","14.52"
DMSPSBD30,"D:","1.61"
DMSPSBD30,"F:",0
DMSPSBD30,"E:",0
DMSPSBD51,"C:","407.94"
DMSPSBD51,"F:","3.96"
DMSPSBD51,"D:","1.38"
DMSPSBD51,"E:","0.07"
DMSPSBD54,"C:","359.69"
DMSPSBD54,"F:","3.95"
DMSPSBD54,"D:","1.61"
DMSPSBD54,"E:","0.04"
DMSPSBD55,"C:","406.59"
DMSPSBD55,"F:","3.82"
DMSPSBD55,"D:","1.38"
DMSPSBD55,"E:","0.05"
DMSPSBD56,"C:","359.01"
DMSPSBD56,"F:","3.78"
DMSPSBD56,"D:","1.39"
DMSPSBD56,"E:","0.04"
DMSPSBD60,"C:","318.16"
DMSPSBD60,"G:","18.12"
DMSPSBD60,"E:",0
DMSPSBD60,"D:",0
DMSPSBD60,"F:",0
DMSPSBD61,"C:","307.98"
DMSPSBD61,"G:","18.68"
DMSPSBD61,"D:","5.15"
DMSPSBD61,"E:",0
DMSPSBD61,"F:",0
DMSPSBD82,"C:","305.35"
DMSPSBD82,"I:",13
DMSPSBD82,"D:","5.25"
DMSPSBD82,"F:",0
DMSPSBD82,"H:",0
DMSPSBD82,"G:",0
DMSPSBD82,"E:",0
DMSPSBD91,"C:","385.22"
DMSPSBD91,"E:","8.99"
DMSPSBD91,"F:","5.39"
DMSPSBD91,"D:","4.84"
DMSPSPR121,"C:","387.16"
DMSPSPR121,"D:","62.56"
DMSPSPR122,"C:","489.87"
DMSPSPR122,"D:","63.83"
DMSPSPR131,"C:","222.44"
DMSPSPR131,"D:","3.33"
DMSPSPR132,"C:","554.44"
DMSPSPR132,"D:","5.16"
DMSPSPR231,"C:","496.65"
DMSPSPR231,"E:","1.09"
DMSPSPR231,"D:","0.05"
DMSPSPR51,"C:","611.81"
DMSPSPR51,"D:","0.05"
DMSPSPR55,"C:","365.22"
DMSPSPR55,"D:",0
DMSPSPR56,"C:","377.42"
DMSPSPR56,"D:","0.42"
DMSPSPR61,"C:","307.48"
DMSPSPR61,"D:",0
DMSPSPR61,"E:",0
DMSPSPR91,"C:","399.92"
DMSPSPR91,"D:","4.87"
EMSPSAP05,"C:","803.23"
EMSPSAP07,"C:","307.42"
EMSPSAP21,"C:","330.32"
EMSPSAP21,"D:","258.55"
EMSPSAP21,"F:",0
EMSPSAP22,"C:","145.88"
EMSPSAP22,"D:","37.97"
EMSPSAP22,"F:","0.01"
EMSPSBD21,"E:","3227.14"
EMSPSBD21,"C:","340.91"
EMSPSBD21,"F:","263.62"
EMSPSBD21,"T:","105.68"
EMSPSBD21,"D:","11.98"
EMSPSPR22,"C:","180.97"
EMSPSPR22,"E:","12.26"
EMSPSPR22,"D:",0
PREMPSPSAP183,"C:","475.6"
PREMPSPSAP183,"D:","0.12"
PREMSPSAP11,"C:","310.32"
PREMSPSAP11,"D:",0
PREMSPSAP12,"C:","404.79"
PREMSPSAP12,"D:",0
PREMSPSAP12,"E:",0
PREMSPSAP121,"C:","346.41"
PREMSPSAP121,"D:","0.17"
PREMSPSAP122,"C:","333.82"
PREMSPSAP122,"D:","0.18"
PREMSPSAP123,"C:","341.73"
PREMSPSAP123,"D:","22.19"
PREMSPSAP124,"C:","316.03"
PREMSPSAP124,"D:","21.43"
PREMSPSAP13,"C:","304.4"
PREMSPSAP13,"E:",0
PREMSPSAP131,"C:","312.2"
PREMSPSAP131,"D:",0
PREMSPSAP134,"C:","476.85"
PREMSPSAP134,"D:","5.19"
PREMSPSAP182,"C:","1073.82"
PREMSPSAP182,"D:","21.35"
PREMSPSAP40,"C:","277.37"
PREMSPSAP40,"F:","5.93"
PREMSPSAP40,"E:","0.3"
PREMSPSAP40,"D:","0.05"
PREMSPSAP61,"C:","334.2"
PREMSPSAP61,"D:",0
PREMSPSAP62,"C:","284.99"
PREMSPSAP62,"D:",0
PREMSPSAP62,"E:",0
PREMSPSAP65,"C:","277.89"
PREMSPSAP65,"D:",0
PREMSPSAP65,"E:",0
PREMSPSAP81,"C:","322.23"
PREMSPSAP81,"D:","0.09"
PREMSPSBD103,"C:","467.84"
PREMSPSBD103,"D:","0.69"
PREMSPSBD103,"H:","0.5"
PREMSPSBD103,"I:",0
PREMSPSBD103,"F:",0
PREMSPSBD103,"E:",0
PREMSPSBD11,"C:","320.72"
PREMSPSBD11,"E:","46.5"
PREMSPSBD11,"D:","5.25"
PREMSPSBD11,"F:","3.84"
PREMSPSBD115,"C:","551.66"
PREMSPSBD115,"H:","91.04"
PREMSPSBD115,"J:","1.83"
PREMSPSBD115,"D:","0.79"
PREMSPSBD115,"L:",0
PREMSPSBD122,"C:","792.95"
PREMSPSBD122,"E:","709.4"
PREMSPSBD122,"F:","218.68"
PREMSPSBD122,"H:","49.46"
PREMSPSBD122,"D:","5.87"
PREMSPSBD122,"G:","0.56"
PREMSPSBD122,"I:","0.23"
PREMSPSBD123,"C:","490.96"
PREMSPSBD123,"D:","1.9"
PREMSPSBD123,"E:","0.48"
PREMSPSBD123,"F:","0.46"
PREMSPSBD123,"H:","0.01"
PREMSPSBD123,"G:",0
PREMSPSBD126,"C:","617.82"
PREMSPSBD126,"D:","0.42"
PREMSPSBD126,"K:","0.12"
PREMSPSBD126,"F:","0.01"
PREMSPSBD126,"G:",0
PREMSPSBD126,"R:",0
PREMSPSBD126,"L:",0
PREMSPSBD126,"J:",0
PREMSPSBD126,"N:",0
PREMSPSBD126,"H:",0
PREMSPSBD126,"E:",0
PREMSPSBD126,"Q:",0
PREMSPSBD126,"M:",0
PREMSPSBD126,"I:",0
PREMSPSBD127,"C:","313.27"
PREMSPSBD127,"E:","5.42"
PREMSPSBD127,"F:","4.25"
PREMSPSBD127,"D:","2.51"
PREMSPSBD128,"C:","435.34"
PREMSPSBD128,"E:","196.63"
PREMSPSBD128,"F:","39.62"
PREMSPSBD128,"D:",6
PREMSPSBD130,"C:","664.14"
PREMSPSBD130,"D:","0.44"
PREMSPSBD130,"I:","0.05"
PREMSPSBD130,"H:","0.03"
PREMSPSBD130,"E:",0
PREMSPSBD130,"F:",0
PREMSPSBD132,"C:","518.02"
PREMSPSBD132,"E:","1.01"
PREMSPSBD132,"D:","0.89"
PREMSPSBD132,"F:","0.88"
PREMSPSBD132,"T:",0
PREMSPSBD132,"U:",0
PREMSPSBD133,"F:","595.67"
PREMSPSBD133,"C:","565.82"
PREMSPSBD133,"D:","4.74"
PREMSPSBD133,"E:","0.9"
PREMSPSBD133,"U:","0.01"
PREMSPSBD133,"T:",0
PREMSPSBD141,"C:","517.86"
PREMSPSBD141,"E:","267.52"
PREMSPSBD141,"D:","0.41"
PREMSPSBD141,"F:",0
PREMSPSBD182,"H:","17818.14"
PREMSPSBD182,"E:","15788.72"
PREMSPSBD182,"C:","587.91"
PREMSPSBD182,"F:","30.63"
PREMSPSBD182,"D:","5.78"
PREMSPSBD183,"C:","323.72"
PREMSPSBD183,"F:","52.28"
PREMSPSBD183,"E:","43.38"
PREMSPSBD183,"D:","3.35"
PREMSPSBD183,"H:","1.17"
PREMSPSBD185,"F:","9247.19"
PREMSPSBD185,"E:","2337.34"
PREMSPSBD185,"H:","1649.99"
PREMSPSBD185,"C:","340.22"
PREMSPSBD185,"D:","80.74"
PREMSPSBD186,"C:","497.02"
PREMSPSBD186,"D:","5.25"
PREMSPSBD201,"C:","455.12"
PREMSPSBD201,"E:","177.14"
PREMSPSBD201,"D:","5.53"
PREMSPSBD201,"F:","1.6"
PREMSPSBD231,"C:","304.4"
PREMSPSBD231,"D:","1.55"
PREMSPSBD231,"E:","0.58"
PREMSPSBD231,"F:","0.19"
PREMSPSBD232,"C:","345.79"
PREMSPSBD232,"D:","4.28"
PREMSPSBD232,"E:","1.67"
PREMSPSBD232,"G:","0.69"
PREMSPSBD232,"F:","0.61"
PREMSPSBD25,"C:","542.72"
PREMSPSBD25,"E:","14.45"
PREMSPSBD25,"D:","0.4"
PREMSPSBD25,"F:",0
PREMSPSBD30,"C:","528.21"
PREMSPSBD30,"F:","13.11"
PREMSPSBD30,"E:","10.93"
PREMSPSBD30,"D:","6.32"
PREMSPSBD30,"I:","0.65"
PREMSPSBD30,"G:",0
PREMSPSBD30,"H:",0
PREMSPSBD35,"C:","559.47"
PREMSPSBD35,"E:","204.63"
PREMSPSBD35,"F:","32.87"
PREMSPSBD35,"D:","6.63"
PREMSPSBD35,"Z:",0
PREMSPSBD36,"C:","323.85"
PREMSPSBD36,"F:","5.12"
PREMSPSBD36,"D:","3.1"
PREMSPSBD36,"E:","1.74"
PREMSPSBD40,"C:","311.18"
PREMSPSBD40,"D:","6.05"
PREMSPSBD40,"I:","0.63"
PREMSPSBD40,"E:",0
PREMSPSBD40,"H:",0
PREMSPSBD40,"G:",0
PREMSPSBD40,"F:",0
PREMSPSBD50,"C:","582.82"
PREMSPSBD50,"D:","0.45"
PREMSPSBD50,"E:","0.12"
PREMSPSBD50,"F:","0.01"
PREMSPSBD53,"C:","430.12"
PREMSPSBD53,"D:","0.28"
PREMSPSBD53,"F:",0
PREMSPSBD53,"E:",0
PREMSPSBD55,"C:","300.09"
PREMSPSBD55,"F:","3.74"
PREMSPSBD55,"D:","1.28"
PREMSPSBD55,"E:","0.04"
PREMSPSBD61,"C:","533.28"
PREMSPSBD61,"D:","0.73"
PREMSPSBD61,"F:",0
PREMSPSBD61,"E:",0
PREMSPSBD62,"C:","290.09"
PREMSPSBD62,"D:","5.3"
PREMSPSBD62,"E:","0.21"
PREMSPSBD62,"F:","0.12"
PREMSPSBD63,"C:","267.68"
PREMSPSBD63,"I:","5.47"
PREMSPSBD63,"H:","3.97"
PREMSPSBD63,"D:","1.38"
PREMSPSBD63,"G:","0.34"
PREMSPSBD63,"E:","0.25"
PREMSPSBD63,"F:","0.03"
PREMSPSBD70,"G:","6913.35"
PREMSPSBD70,"E:","6335.9"
PREMSPSBD70,"C:","299.57"
PREMSPSBD70,"H:","55.59"
PREMSPSBD70,"F:","28.5"
PREMSPSBD70,"I:","5.24"
PREMSPSBD70,"D:","1.49"
PREMSPSBD72,"C:","301.47"
PREMSPSBD72,"D:","5.27"
PREMSPSBD72,"E:","0.01"
PREMSPSBD72,"F:",0
PREMSPSBD73,"C:","304.31"
PREMSPSBD73,"D:","8.14"
PREMSPSBD73,"F:","0.13"
PREMSPSBD73,"E:",0
PREMSPSBD81,"C:","677.57"
PREMSPSBD81,"D:","0.93"
PREMSPSBD81,"F:","0.24"
PREMSPSBD81,"E:","0.01"
PREMSPSBD81,"H:",0
PREMSPSBD81,"G:",0
PREMSPSBD81,"I:",0
PREMSPSBD95,"E:","447.78"
PREMSPSBD95,"C:","389.49"
PREMSPSBD95,"D:","4.36"
PREMSPSBD95,"F:","2.25"
PREMSPSBD96,"C:","1022.53"
PREMSPSBD96,"H:","434.23"
PREMSPSBD96,"D:","2.69"
PREMSPSBD96,"F:","1.34"
PREMSPSBD96,"E:","1.08"
PREMSPSBD96,"L:",0
PREMSPSBD96,"J:",0
PREMSPSPR101,"C:","364.22"
PREMSPSPR101,"D:",0
PREMSPSPR121,"C:","372.85"
PREMSPSPR121,"D:","0.06"
PREMSPSPR123,"C:","306.21"
PREMSPSPR123,"D:","20.62"
PREMSPSPR124,"C:","304.85"
PREMSPSPR124,"D:","20.49"
PREMSPSPR131,"C:","385.35"
PREMSPSPR131,"D:","0.23"
PREMSPSPR132,"C:","562.8"
PREMSPSPR132,"D:",0
PREMSPSPR134,"C:","394.52"
PREMSPSPR134,"D:","4.97"
PREMSPSPR135,"C:","366.09"
PREMSPSPR135,"D:",0
PREMSPSPR141,"C:","401.89"
PREMSPSPR141,"D:",0
PREMSPSPR181,"C:","409.02"
PREMSPSPR181,"D:","2.28"
PREMSPSPR182,"C:","440.7"
PREMSPSPR182,"D:","1.97"
PREMSPSPR201,"C:","443.23"
PREMSPSPR201,"D:","2.95"
PREMSPSPR211,"C:","412.92"
PREMSPSPR211,"D:",0
PREMSPSPR231,"C:","327.84"
PREMSPSPR231,"D:","4.65"
PREMSPSPR232,"C:","375.17"
PREMSPSPR232,"D:","1.25"
PREMSPSPR30,"C:","376.58"
PREMSPSPR30,"F:","4.97"
PREMSPSPR30,"D:",0
PREMSPSPR30,"H:",0
PREMSPSPR30,"E:",0
PREMSPSPR30,"G:",0
PREMSPSPR50,"C:","397.7"
PREMSPSPR50,"D:",0
PREMSPSPR53,"C:","383.29"
PREMSPSPR53,"F:",0
PREMSPSPR53,"H:",0
PREMSPSPR53,"D:",0
PREMSPSPR55,"C:","318.02"
PREMSPSPR55,"D:",0
PREMSPSPR62,"C:","276.32"
PREMSPSPR62,"D:",0
PREMSPSPR62,"E:",0
PREMSPSPR65,"C:","279.55"
PREMSPSPR65,"E:",0
PREMSPSPR65,"D:",0
PREMSPSPR66,"C:","266.55"
PREMSPSPR66,"G:","4.26"
PREMSPSPR66,"F:",0
PREMSPSPR66,"E:",0
PREMSPSPR66,"D:",0
PREMSPSPR91,"C:","423.61"
PREMSPSPR91,"D:","4.56"
PREMSPSPR92,"C:","322.73"
PREMSPSPR92,"D:","3.88"
acmdpap200,"C:","145.06"
"az-msps-vm-veea","C:","1439.69"
"az-msps-vm-veea","D:","24.37"
"vm-msps-prod-ap","C:","210.13"
"vm-msps-prod-ap","D:","6.13"
