Computer,Disk,DiskIOPSAverage
ACMDPAP03,"C:","12.764201348490229"
ACMDPAP03,"D:","2.0721397857904083"
ACMDPAP03,"E:","0.1418477431616341"
ACMDPAP10,"C:","7.994151934114723"
ACMDPAP10,"D:","0.0000503150417332623"
ACMDPAP12,"C:","14.713771901616052"
ACMDPAP12,"D:","0.8465249836618717"
ACMDPAP12,"P:","0.0002575079026815841"
ACMDPAP121,"C:","9.332839474067496"
ACMDPAP121,"D:","0.012254256305506216"
ACMDPAP122,"C:","8.994556866098385"
ACMDPAP122,"D:","0.016351898774640383"
ACMDPAP123,"C:","8.576896034642031"
ACMDPAP123,"D:","0.007076059335583585"
ACMDPAP124,"C:","8.526111183481351"
ACMDPAP124,"D:","0.0074475518650088815"
ACMDPAP125,"C:","8.192451789333333"
ACMDPAP125,"D:","0.012209790755555554"
ACMDPAP126,"C:","9.770969441918293"
ACMDPAP126,"D:","0.008415807460035524"
ACMDPAP127,"C:","6.448936503111111"
ACMDPAP127,"D:","0.000020739555555555555"
ACMDPAP127,"E:","0.000032591288888888885"
ACMDPAP136,"C:","8.370273988809947"
ACMDPAP136,"D:","0.00023386252220248667"
ACMDPAP137,"C:","9.525756006927175"
ACMDPAP137,"D:","0.0002456724689165186"
ACMDPAP138,"C:","8.050503664653641"
ACMDPAP138,"D:","0.0001602451154529307"
ACMDPAP156,"C:","9.59556528436945"
ACMDPAP156,"D:","0.000011840852575488454"
ACMDPAP157,"C:","10.22242333475404"
ACMDPAP157,"D:",0
ACMDPAP173,"C:","8.355941465719361"
ACMDPAP173,"D:","0.00007696625222024867"
ACMDPAP174,"C:","8.636328461893765"
ACMDPAP174,"D:","0.00008288843489074436"
ACMDPAP181,"C:","35.029317625044406"
ACMDPAP181,"D:","3.8643442936056838"
ACMDPAP181,"P:","0.008244011545293074"
ACMDPAP183,"C:","18.417460248444996"
ACMDPAP183,"D:","7.5046183636040515"
ACMDPAP184,"C:","30.66774904067496"
ACMDPAP184,"D:","3.791782165541741"
ACMDPAP184,"P:","0.000011841918294849025"
ACMDPAP185,"C:","9.190531515630553"
ACMDPAP185,"D:","0.017199155772646538"
ACMDPAP185,"P:","0.00001184031971580817"
ACMDPAP186,"C:","13.958610658386217"
ACMDPAP186,"D:","0.000012087941976427925"
ACMDPAP187,"C:","32.358682003375385"
ACMDPAP187,"D:","3.8013312634570973"
ACMDPAP187,"P:","0.000011842245514300941"
ACMDPAP191,"C:","8.209231327001596"
ACMDPAP191,"D:","0.04081162666429967"
ACMDPAP25,"C:","8.089210249511632"
ACMDPAP25,"D:","0.00004143455869294974"
ACMDPAP28,"C:","12.335677143872113"
ACMDPAP28,"D:","0.000023681527531083482"
ACMDPAP28,"E:","0.00024569520426287743"
ACMDPAP29,"C:","9.406416544937834"
ACMDPAP29,"E:","0.13144513516873893"
ACMDPAP29,"F:","2.0605354431616343"
ACMDPAP29,"G:","0.00001479982238010657"
ACMDPAP29,"H:","0.00001479982238010657"
ACMDPAP29,"P:","0.00001479982238010657"
ACMDPAP30,"C:","7.763355313143872"
ACMDPAP30,"E:","0.000011840852575488454"
ACMDPAP30,"F:","1.2700439008880995"
ACMDPAP30,"G:","0.000011840852575488454"
ACMDPAP30,"H:","0.000011840852575488454"
ACMDPAP30,"P:","0.000011840852575488454"
ACMDPAP32,"C:","8.776674490408526"
ACMDPAP32,"D:","0.08827871207815276"
ACMDPAP32,"P:","0.00010360781527531083"
ACMDPAP42,"C:","8.446662323320298"
ACMDPAP42,"D:","0.03389439672947031"
ACMDPAP54,"C:","6.8332847901278395"
ACMDPAP54,"D:","0.00001183682528409091"
ACMDPAP57,"C:","5.109415447246891"
ACMDPAP61,"C:","7.6473262415201555"
ACMDPAP61,"D:","0.000014796838927366363"
ACMDPAP62,"C:","6.889964791688866"
ACMDPAP62,"D:","0.000011838217012963949"
ACMDPAP62,"E:","0.0012637725093233884"
ACMDPAP63,"C:","4.868892946723495"
ACMDPAP63,"D:","0.15233003409696325"
ACMDPAP63,"E:","0.3609266671994317"
ACMDPAP63,"H:","0.00012726815840880838"
ACMDPAP66,"C:","7.084042463765542"
ACMDPAP66,"D:","0.0007666513321492006"
ACMDPAP66,"E:","0.00001184120781527531"
ACMDPAP68,"C:","7.459260600248624"
ACMDPAP68,"D:","0.000011838572189664359"
ACMDPAP68,"E:","0.000011838572189664359"
ACMDPAP68,"F:","0.000011838572189664359"
ACMDPAP72,"C:","6.266936496447603"
ACMDPAP72,"D:","0.00001184120781527531"
ACMDPAP72,"E:","0.00001184120781527531"
ACMDPAP72,"F:","0.00001184120781527531"
ACMDPAP92,"C:","8.810665942283785"
ACMDPAP92,"D:","6.508590100870183"
ACMDPAP99,"C:","10.012443535251288"
ACMDPAP99,"D:","1.6917260614455696"
ACMDPBD09,"C:","7.38088954040135"
ACMDPBD09,"D:","0.2654896032676256"
ACMDPBD09,"E:","0.00008583004794885456"
ACMDPBD09,"F:","0.000011838749778014563"
ACMDPBD09,"H:","0.08422355514118274"
ACMDPBD09,"I:","0.000011838749778014563"
ACMDPBD09,"J:","0.000011838749778014563"
ACMDPBD09,"K:","0.000011838749778014563"
ACMDPBD09,"P:","0.000011838749778014563"
ACMDPBD102,"C:","13.373617514564833"
ACMDPBD102,"D:","0.34832917690941384"
ACMDPBD102,"E:","51.86987502824157"
ACMDPBD102,"F:","3.9546443401420954"
ACMDPBD102,"H:","3.3022851804618116"
ACMDPBD102,"I:","0.07783015222024867"
ACMDPBD102,"J:","0.02728335523978686"
ACMDPBD102,"P:","0.00001184031971580817"
ACMDPBD105,"C:","10.010099717456937"
ACMDPBD105,"D:","1.0699203475404013"
ACMDPBD105,"E:","0.04011549511632037"
ACMDPBD105,"H:","3.3511518906055753"
ACMDPBD115,"C:","13.699077460841773"
ACMDPBD115,"D:","0.5354738293375954"
ACMDPBD115,"G:","1.4539281200497247"
ACMDPBD115,"H:","6713.901204119893"
ACMDPBD115,"I:","18.444432805718343"
ACMDPBD115,"J:","17.249525791511275"
ACMDPBD115,"K:","250.4468157183449"
ACMDPBD115,"L:","14.629934604333155"
ACMDPBD115,"M:","27.65288888705381"
ACMDPBD115,"N:","0.14066207902681582"
ACMDPBD115,"P:","0.04055888510033742"
ACMDPBD120,"C:","11.265512931628487"
ACMDPBD120,"D:","0.2819108987746404"
ACMDPBD120,"E:","0.11068022482685134"
ACMDPBD120,"F:","3.520044836618718"
ACMDPBD120,"G:","4.804130182028059"
ACMDPBD120,"H:","19.265845202628306"
ACMDPBD120,"I:","0.6498623471852247"
ACMDPBD120,"J:","43.35214078707157"
ACMDPBD120,"K:","2.6733608023441664"
ACMDPBD120,"L:","6.562226044752264"
ACMDPBD120,"M:","14.038562547504885"
ACMDPBD120,"N:","8.1639494649263"
ACMDPBD120,"P:","0.00001183786183626354"
ACMDPBD120,"Q:","2.9876701470431537"
ACMDPBD120,"R:","0.10170926141005147"
ACMDPBD122,"C:","9.540053907848012"
ACMDPBD122,"D:","0.39021886399147726"
ACMDPBD122,"E:","2.3546294540127835"
ACMDPBD122,"F:","28.878905669211644"
ACMDPBD122,"H:","0.11059563227982955"
ACMDPBD122,"I:","0.000011835759943181818"
ACMDPBD123,"C:","9.525848069804617"
ACMDPBD123,"D:","0.31214812166962697"
ACMDPBD123,"E:","0.48536986785079916"
ACMDPBD123,"F:","0.5228618719360568"
ACMDPBD123,"H:","0.0018087243339253998"
ACMDPBD125,"C:","12.815580889520428"
ACMDPBD125,"D:","0.8478385342806394"
ACMDPBD125,"E:","196.89752547655416"
ACMDPBD125,"F:","70.49489069058615"
ACMDPBD125,"G:","0.846667936234458"
ACMDPBD125,"H:","58.443942020603906"
ACMDPBD125,"I:","0.007045219893428064"
ACMDPBD125,"J:","0.10412247939609234"
ACMDPBD125,"K:","19.035674794316158"
ACMDPBD125,"L:","2.7725014378330375"
ACMDPBD125,"M:","7.013423076909416"
ACMDPBD125,"N:","0.01489984511545293"
ACMDPBD125,"P:","1.7389401341030195"
ACMDPBD125,"Q:","0.000011839964476021313"
ACMDPBD125,"R:","0.000011839964476021313"
ACMDPBD125,"S:","0.000011839964476021313"
ACMDPBD125,"T:","0.000011839964476021313"
ACMDPBD125,"X:","0.000011839964476021313"
ACMDPBD125,"Y:","0.000011839964476021313"
ACMDPBD126,"C:","10.491875251332148"
ACMDPBD126,"D:","0.46462362238010657"
ACMDPBD126,"E:","115.530042825222"
ACMDPBD126,"F:","70.36142388294849"
