Computer,Disk,DiskPercentageUsed,"Free_Space_Label",LogicalDiskSpacePercentageFreeAverage
ACMDPBD23,"I:","98.69%",Critical,"98.69"
ACMDPBD23,"D:","81.44%",Warning,"81.44"
ACMDPBD23,"F:","72.7%",Warning,"72.7"
ACMDPBD23,"H:","69.94%",Warning,"69.94"
ACMDPBD23,"C:","55.74%",Healthy,"55.74"
ACMDPBD23,"E:","19.4%",Healthy,"19.4"
ACMDPBD230,"F:","87.72%",Warning,"87.72"
ACMDPBD230,"D:","83.48%",Warning,"83.48"
ACMDPBD230,"C:","21.87%",Healthy,"21.87"
ACMDPBD230,"E:","17.76%",Healthy,"17.76"
ACMDPBD28,"H:","97.84%",Critical,"97.84"
ACMDPBD28,"I:","97.46%",Critical,"97.46"
ACMDPBD28,"E:","94.49%",Critical,"94.49"
ACMDPBD28,"D:","83.06%",Warning,"83.06"
ACMDPBD28,"F:","76.62%",Warning,"76.62"
ACMDPBD28,"C:","61.92%",Warning,"61.92"
ACMDPBD29,"H:","98.81%",Critical,"98.81"
ACMDPBD29,"P:","95.26%",Critical,"95.26"
ACMDPBD29,"E:","83.21%",Warning,"83.21"
ACMDPBD29,"G:","69.6%",Warning,"69.6"
ACMDPBD29,"F:","60.39%",Warning,"60.39"
ACMDPBD29,"C:","45.09%",Healthy,"45.09"
ACMDPBD29,"D:","38.52%",Healthy,"38.52"
ACMDPBD30,"G:","99.79%",Critical,"99.79"
ACMDPBD30,"H:","98.7%",Critical,"98.7"
ACMDPBD30,"P:","95.26%",Critical,"95.26"
ACMDPBD30,"D:","85.15%",Warning,"85.15"
ACMDPBD30,"E:","83.15%",Warning,"83.15"
ACMDPBD30,"F:","60.39%",Warning,"60.39"
ACMDPBD30,"C:","50.25%",Healthy,"50.25"
ACMDPBD35,"F:","98.59%",Critical,"98.59"
ACMDPBD35,"E:","91.96%",Critical,"91.96"
ACMDPBD35,"D:","84.04%",Warning,"84.04"
ACMDPBD35,"C:","55.1%",Healthy,"55.1"
ACMDPBD37,"F:","99.84%",Critical,"99.84"
ACMDPBD37,"D:","67.03%",Warning,"67.03"
ACMDPBD37,"K:","25.96%",Healthy,"25.96"
ACMDPBD37,"I:","25.14%",Healthy,"25.14"
ACMDPBD37,"C:","22.12%",Healthy,"22.12"
ACMDPBD37,"J:","4.06%",Healthy,"4.06"
ACMDPBD37,"E:","2.74%",Healthy,"2.74"
ACMDPBD38,"P:","99.76%",Critical,"99.76"
ACMDPBD38,"F:","88.33%",Warning,"88.33"
ACMDPBD38,"I:","71.24%",Warning,"71.24"
ACMDPBD38,"D:","67.32%",Warning,"67.32"
ACMDPBD38,"E:","34.39%",Healthy,"34.39"
ACMDPBD38,"H:","31.36%",Healthy,"31.36"
ACMDPBD38,"M:","29.77%",Healthy,"29.77"
ACMDPBD38,"J:","27.45%",Healthy,"27.45"
ACMDPBD38,"L:","25.72%",Healthy,"25.72"
ACMDPBD38,"K:","18.71%",Healthy,"18.71"
ACMDPBD38,"C:","15.84%",Healthy,"15.84"
ACMDPBD38,"N:","3.1%",Healthy,"3.1"
ACMDPBD40,"J:","81.67%",Warning,"81.67"
ACMDPBD40,"C:","64.28%",Warning,"64.28"
ACMDPBD40,"F:","58.35%",Healthy,"58.35"
ACMDPBD40,"K:","53.68%",Healthy,"53.68"
ACMDPBD40,"G:","38.22%",Healthy,"38.22"
ACMDPBD40,"D:","34.52%",Healthy,"34.52"
ACMDPBD40,"I:","33.61%",Healthy,"33.61"
ACMDPBD40,"N:","32.67%",Healthy,"32.67"
ACMDPBD40,"L:","32.17%",Healthy,"32.17"
ACMDPBD40,"H:","22.76%",Healthy,"22.76"
ACMDPBD40,"P:","19.79%",Healthy,"19.79"
ACMDPBD40,"M:","7.14%",Healthy,"7.14"
ACMDPBD40,"E:","4.52%",Healthy,"4.52"
ACMDPBD42,"E:","78.26%",Warning,"78.26"
ACMDPBD42,"D:","66.83%",Warning,"66.83"
ACMDPBD42,"C:","58.63%",Healthy,"58.63"
ACMDPBD42,"F:","41.93%",Healthy,"41.93"
ACMDPBD42,"P:","19.59%",Healthy,"19.59"
ACMDPBD43,"E:","78.96%",Warning,"78.96"
ACMDPBD43,"D:","66.25%",Warning,"66.25"
ACMDPBD43,"C:","65.06%",Warning,"65.06"
ACMDPBD43,"F:","46.03%",Healthy,"46.03"
ACMDPBD43,"P:","19.59%",Healthy,"19.59"
ACMDPBD46,"F:","93.33%",Critical,"93.33"
ACMDPBD46,"E:","87.71%",Warning,"87.71"
ACMDPBD46,"D:","69.54%",Warning,"69.54"
ACMDPBD46,"C:","56.31%",Healthy,"56.31"
ACMDPBD46,"P:","19.59%",Healthy,"19.59"
ACMDPBD47,"F:","93.33%",Critical,"93.33"
ACMDPBD47,"E:","88.89%",Warning,"88.89"
ACMDPBD47,"D:","68.0%",Warning,68
ACMDPBD47,"C:","58.66%",Healthy,"58.66"
ACMDPBD47,"P:","19.57%",Healthy,"19.57"
ACMDPBD50,"H:","99.71%",Critical,"99.71"
ACMDPBD50,"F:","97.59%",Critical,"97.59"
ACMDPBD50,"E:","90.04%",Critical,"90.04"
ACMDPBD50,"G:","79.78%",Warning,"79.78"
ACMDPBD50,"C:","66.06%",Warning,"66.06"
ACMDPBD50,"D:","39.33%",Healthy,"39.33"
ACMDPBD51,"E:","99.71%",Critical,"99.71"
ACMDPBD51,"F:","99.68%",Critical,"99.68"
ACMDPBD51,"D:","85.61%",Warning,"85.61"
ACMDPBD51,"C:","79.69%",Warning,"79.69"
ACMDPBD53,"F:","95.69%",Critical,"95.69"
ACMDPBD53,"E:","91.41%",Critical,"91.41"
ACMDPBD53,"D:","82.66%",Warning,"82.66"
ACMDPBD53,"C:","57.03%",Healthy,"57.03"
ACMDPBD54,"E:","99.89%",Critical,"99.89"
ACMDPBD54,"F:","99.85%",Critical,"99.85"
ACMDPBD54,"H:","99.57%",Critical,"99.57"
ACMDPBD54,"D:","83.53%",Warning,"83.53"
ACMDPBD54,"C:","66.91%",Warning,"66.91"
ACMDPBD56,"F:","85.56%",Warning,"85.56"
ACMDPBD56,"D:","80.9%",Warning,"80.9"
ACMDPBD56,"C:","31.37%",Healthy,"31.37"
ACMDPBD56,"E:","22.08%",Healthy,"22.08"
ACMDPBD57,"F:","99.74%",Critical,"99.74"
ACMDPBD57,"G:","99.16%",Critical,"99.16"
ACMDPBD57,"E:","92.15%",Critical,"92.15"
ACMDPBD57,"C:","59.1%",Healthy,"59.1"
ACMDPBD57,"D:","36.67%",Healthy,"36.67"
ACMDPBD62,"H:","99.8%",Critical,"99.8"
ACMDPBD62,"E:","98.18%",Critical,"98.18"
ACMDPBD62,"F:","95.77%",Critical,"95.77"
ACMDPBD62,"D:","92.59%",Critical,"92.59"
ACMDPBD62,"C:","49.61%",Healthy,"49.61"
ACMDPBD63,"H:","99.8%",Critical,"99.8"
ACMDPBD63,"E:","98.53%",Critical,"98.53"
ACMDPBD63,"F:","95.77%",Critical,"95.77"
ACMDPBD63,"D:","92.41%",Critical,"92.41"
ACMDPBD63,"C:","54.07%",Healthy,"54.07"
ACMDPBD66,"E:","99.89%",Critical,"99.89"
ACMDPBD66,"F:","99.7%",Critical,"99.7"
ACMDPBD66,"D:","96.92%",Critical,"96.92"
ACMDPBD66,"C:","72.75%",Warning,"72.75"
ACMDPBD67,"E:","99.95%",Critical,"99.95"
ACMDPBD67,"F:","99.91%",Critical,"99.91"
ACMDPBD67,"D:","96.58%",Critical,"96.58"
ACMDPBD67,"C:","73.49%",Warning,"73.49"
ACMDPBD68,"E:","79.55%",Warning,"79.55"
ACMDPBD68,"C:","71.61%",Warning,"71.61"
ACMDPBD68,"F:","67.4%",Warning,"67.4"
ACMDPBD68,"D:","16.72%",Healthy,"16.72"
ACMDPBD69,"E:","99.95%",Critical,"99.95"
ACMDPBD69,"F:","99.91%",Critical,"99.91"
ACMDPBD69,"D:","96.17%",Critical,"96.17"
ACMDPBD69,"C:","71.99%",Warning,"71.99"
ACMDPBD70,"E:","99.95%",Critical,"99.95"
ACMDPBD70,"F:","99.91%",Critical,"99.91"
ACMDPBD70,"D:","96.71%",Critical,"96.71"
ACMDPBD70,"C:","72.76%",Warning,"72.76"
ACMDPBD72,"G:","99.97%",Critical,"99.97"
ACMDPBD72,"E:","99.95%",Critical,"99.95"
ACMDPBD72,"F:","99.91%",Critical,"99.91"
ACMDPBD72,"H:","99.73%",Critical,"99.73"
ACMDPBD72,"D:","97.38%",Critical,"97.38"
ACMDPBD72,"C:","67.73%",Warning,"67.73"
ACMDPBD73,"G:","99.97%",Critical,"99.97"
ACMDPBD73,"E:","99.95%",Critical,"99.95"
ACMDPBD73,"F:","99.91%",Critical,"99.91"
ACMDPBD73,"H:","99.73%",Critical,"99.73"
ACMDPBD73,"D:","97.4%",Critical,"97.4"
ACMDPBD73,"C:","67.27%",Warning,"67.27"
ACMDPBD81,"H:","100.0%",Critical,100
ACMDPBD81,"E:","99.98%",Critical,"99.98"
ACMDPBD81,"F:","77.6%",Warning,"77.6"
ACMDPBD81,"D:","68.03%",Warning,"68.03"
ACMDPBD81,"C:","45.0%",Healthy,45
ACMDPBD81,"O:","37.81%",Healthy,"37.81"
ACMDPBD81,"J:","36.76%",Healthy,"36.76"
ACMDPBD81,"I:","33.97%",Healthy,"33.97"
ACMDPBD81,"M:","15.71%",Healthy,"15.71"
ACMDPBD81,"K:","11.28%",Healthy,"11.28"
ACMDPBD81,"N:","10.43%",Healthy,"10.43"
ACMDPBD81,"L:","10.38%",Healthy,"10.38"
ACMDPBD81,"G:","6.65%",Healthy,"6.65"
ACMDPBD82,"F:","84.82%",Warning,"84.82"
ACMDPBD82,"D:","70.22%",Warning,"70.22"
ACMDPBD82,"G:","68.43%",Warning,"68.43"
ACMDPBD82,"C:","37.05%",Healthy,"37.05"
ACMDPBD82,"P:","35.84%",Healthy,"35.84"
ACMDPBD82,"E:","9.74%",Healthy,"9.74"
ACMDPBD92,"N:","95.39%",Critical,"95.39"
ACMDPBD92,"H:","86.45%",Warning,"86.45"
ACMDPBD92,"L:","64.5%",Warning,"64.5"
ACMDPBD92,"J:","56.83%",Healthy,"56.83"
ACMDPBD92,"D:","41.38%",Healthy,"41.38"
ACMDPBD92,"C:","39.04%",Healthy,"39.04"
ACMDPBD92,"E:","23.71%",Healthy,"23.71"
ACMDPBD92,"T:","19.39%",Healthy,"19.39"
ACMDPBD92,"G:","16.9%",Healthy,"16.9"
ACMDPBD92,"P:","14.6%",Healthy,"14.6"
ACMDPBD92,"F:","1.42%",Healthy,"1.42"
ACMDPBD95,"F:","93.51%",Critical,"93.51"
ACMDPBD95,"D:","90.95%",Critical,"90.95"
ACMDPBD95,"C:","22.81%",Healthy,"22.81"
ACMDPBD95,"G:","20.19%",Healthy,"20.19"
ACMDPBD95,"E:","2.3%",Healthy,"2.3"
ACMDPBD96,"D:","93.11%",Critical,"93.11"
ACMDPBD96,"F:","92.61%",Critical,"92.61"
ACMDPBD96,"H:","81.37%",Warning,"81.37"
ACMDPBD96,"C:","65.63%",Warning,"65.63"
ACMDPBD96,"G:","51.95%",Healthy,"51.95"
ACMDPBD96,"E:","3.87%",Healthy,"3.87"
ACMDPPR09,"D:","99.66%",Critical,"99.66"
ACMDPPR09,"C:","71.3%",Warning,"71.3"
ACMDPPR101,"P:","87.22%",Warning,"87.22"
ACMDPPR101,"D:","80.72%",Warning,"80.72"
ACMDPPR101,"C:","20.4%",Healthy,"20.4"
ACMDPPR102,"D:","93.62%",Critical,"93.62"
ACMDPPR102,"P:","87.22%",Warning,"87.22"
ACMDPPR102,"C:","31.66%",Healthy,"31.66"
ACMDPPR111,"D:","92.99%",Critical,"92.99"
ACMDPPR111,"C:","67.98%",Warning,"67.98"
ACMDPPR121,"D:","75.0%",Warning,75
ACMDPPR121,"C:","2.99%",Healthy,"2.99"
ACMDPPR122,"C:","23.63%",Healthy,"23.63"
ACMDPPR122,"D:","19.67%",Healthy,"19.67"
ACMDPPR123,"D:","37.0%",Healthy,37
ACMDPPR123,"C:","23.78%",Healthy,"23.78"
ACMDPPR124,"D:","92.93%",Critical,"92.93"
ACMDPPR124,"C:","42.77%",Healthy,"42.77"
ACMDPPR125,"D:","86.27%",Warning,"86.27"
ACMDPPR125,"C:","46.04%",Healthy,"46.04"
ACMDPPR126,"D:","92.94%",Critical,"92.94"
ACMDPPR126,"C:","50.26%",Healthy,"50.26"
ACMDPPR127,"E:","99.96%",Critical,"99.96"
ACMDPPR127,"D:","90.22%",Critical,"90.22"
ACMDPPR127,"C:","77.68%",Warning,"77.68"
ACMDPPR131,"P:","93.33%",Critical,"93.33"
ACMDPPR131,"D:","70.32%",Warning,"70.32"
ACMDPPR131,"C:","47.41%",Healthy,"47.41"
ACMDPPR132,"D:","96.33%",Critical,"96.33"
ACMDPPR132,"P:","92.12%",Critical,"92.12"
ACMDPPR132,"C:","30.87%",Healthy,"30.87"
ACMDPPR138,"D:","66.89%",Warning,"66.89"
ACMDPPR138,"C:","66.88%",Warning,"66.88"
ACMDPPR139,"C:","69.87%",Warning,"69.87"
ACMDPPR139,"D:","63.08%",Warning,"63.08"
ACMDPPR14,"D:","91.18%",Critical,"91.18"
ACMDPPR14,"C:","61.41%",Warning,"61.41"
ACMDPPR140,"D:","69.03%",Warning,"69.03"
ACMDPPR140,"C:","3.7%",Healthy,"3.7"
ACMDPPR141,"C:","34.08%",Healthy,"34.08"
ACMDPPR141,"D:","23.45%",Healthy,"23.45"
ACMDPPR15,"C:","62.89%",Warning,"62.89"
ACMDPPR15,"D:","50.11%",Healthy,"50.11"
ACMDPPR15,"E:","10.1%",Healthy,"10.1"
ACMDPPR156,"D:","98.84%",Critical,"98.84"
ACMDPPR156,"C:","62.17%",Warning,"62.17"
ACMDPPR157,"D:","98.84%",Critical,"98.84"
ACMDPPR157,"C:","64.92%",Warning,"64.92"
ACMDPPR173,"C:","66.1%",Warning,"66.1"
ACMDPPR173,"D:","55.96%",Healthy,"55.96"
ACMDPPR174,"D:","43.84%",Healthy,"43.84"
ACMDPPR174,"C:","4.41%",Healthy,"4.41"
ACMDPPR18,"D:","56.33%",Healthy,"56.33"
ACMDPPR18,"C:","11.35%",Healthy,"11.35"
ACMDPPR182,"D:","94.59%",Critical,"94.59"
ACMDPPR182,"C:","60.0%",Warning,60
ACMDPPR183,"D:","94.51%",Critical,"94.51"
ACMDPPR183,"C:","59.86%",Healthy,"59.86"
ACMDPPR191,"P:","99.71%",Critical,"99.71"
ACMDPPR191,"D:","87.02%",Warning,"87.02"
ACMDPPR191,"C:","51.01%",Healthy,"51.01"
ACMDPPR211,"D:","70.49%",Warning,"70.49"
ACMDPPR211,"C:","52.05%",Healthy,"52.05"
ACMDPPR212,"D:","88.21%",Warning,"88.21"
ACMDPPR212,"C:","41.77%",Healthy,"41.77"
ACMDPPR216,"D:","97.68%",Critical,"97.68"
ACMDPPR216,"C:","63.35%",Warning,"63.35"
ACMDPPR217,"D:","97.73%",Critical,"97.73"
ACMDPPR217,"C:","68.54%",Warning,"68.54"
ACMDPPR222,"D:","98.63%",Critical,"98.63"
ACMDPPR222,"C:","72.21%",Warning,"72.21"
ACMDPPR223,"D:","98.63%",Critical,"98.63"
ACMDPPR223,"C:","44.9%",Healthy,"44.9"
ACMDPPR224,"D:","98.63%",Critical,"98.63"
ACMDPPR224,"C:","25.07%",Healthy,"25.07"
ACMDPPR29,"H:","99.84%",Critical,"99.84"
ACMDPPR29,"G:","98.92%",Critical,"98.92"
ACMDPPR29,"E:","91.06%",Critical,"91.06"
ACMDPPR29,"F:","89.37%",Warning,"89.37"
ACMDPPR29,"C:","44.21%",Healthy,"44.21"
ACMDPPR29,"P:","7.9%",Healthy,"7.9"
ACMDPPR30,"H:","99.84%",Critical,"99.84"
ACMDPPR30,"E:","91.29%",Critical,"91.29"
ACMDPPR30,"C:","61.63%",Warning,"61.63"
ACMDPPR30,"G:","57.83%",Healthy,"57.83"
ACMDPPR30,"P:","7.9%",Healthy,"7.9"
ACMDPPR30,"F:","3.53%",Healthy,"3.53"
ACMDPPR35,"D:","91.76%",Critical,"91.76"
ACMDPPR35,"C:","63.26%",Warning,"63.26"
ACMDPPR42,"D:","64.41%",Warning,"64.41"
ACMDPPR42,"C:","12.49%",Healthy,"12.49"
ACMDPPR53,"D:","98.7%",Critical,"98.7"
ACMDPPR53,"C:","46.88%",Healthy,"46.88"
ACMDPPR54,"D:","96.77%",Critical,"96.77"
ACMDPPR54,"C:","77.02%",Warning,"77.02"
ACMDPPR57,"E:","92.19%",Critical,"92.19"
ACMDPPR57,"D:","84.28%",Warning,"84.28"
ACMDPPR57,"C:","43.72%",Healthy,"43.72"
ACMDPPR63,"E:","99.96%",Critical,"99.96"
ACMDPPR63,"D:","97.45%",Critical,"97.45"
ACMDPPR63,"C:","75.62%",Warning,"75.62"
ACMDPPR66,"E:","99.92%",Critical,"99.92"
ACMDPPR66,"D:","98.56%",Critical,"98.56"
ACMDPPR66,"C:","79.0%",Warning,79
ACMDPPR72,"E:","99.97%",Critical,"99.97"
ACMDPPR72,"D:","99.96%",Critical,"99.96"
ACMDPPR72,"F:","99.93%",Critical,"99.93"
ACMDPPR72,"C:","73.82%",Warning,"73.82"
ACMDPPR76,"H:","79.23%",Warning,"79.23"
ACMDPPR76,"C:","74.67%",Warning,"74.67"
ACMDPPR76,"F:","62.8%",Warning,"62.8"
ACMDPPR76,"D:","44.01%",Healthy,"44.01"
ACMDPPR76,"I:","42.44%",Healthy,"42.44"
ACMDPPR76,"K:","25.46%",Healthy,"25.46"
ACMDPPR76,"J:","22.08%",Healthy,"22.08"
ACMDPPR76,"E:","21.35%",Healthy,"21.35"
ACMDPPR80,"D:","41.02%",Healthy,"41.02"
ACMDPPR80,"E:","33.92%",Healthy,"33.92"
ACMDPPR80,"C:","29.89%",Healthy,"29.89"
ACMDPPR83,"D:","84.52%",Warning,"84.52"
ACMDPPR83,"C:","48.31%",Healthy,"48.31"
ACMDPPR83,"E:","0.86%",Healthy,"0.86"
ACMDPPR85,"D:","82.91%",Warning,"82.91"
ACMDPPR85,"F:","66.39%",Warning,"66.39"
ACMDPPR85,"C:","48.7%",Healthy,"48.7"
ACMDPPR85,"G:","28.09%",Healthy,"28.09"
ACMDPPR85,"E:","25.25%",Healthy,"25.25"
ACMDPPR92,"D:","90.48%",Critical,"90.48"
ACMDPPR92,"C:","32.66%",Healthy,"32.66"
ACMDPPR93,"D:","90.12%",Critical,"90.12"
ACMDPPR93,"C:","32.09%",Healthy,"32.09"
ACMDPPR94,"D:","90.65%",Critical,"90.65"
ACMDPPR94,"C:","13.38%",Healthy,"13.38"
ACMDPPR96,"D:","88.68%",Warning,"88.68"
ACMDPPR96,"C:","9.37%",Healthy,"9.37"
DMSPSAP122,"D:","90.64%",Critical,"90.64"
DMSPSAP122,"C:","52.72%",Healthy,"52.72"
DMSPSAP131,"P:","99.73%",Critical,"99.73"
DMSPSAP131,"D:","98.76%",Critical,"98.76"
DMSPSAP131,"C:","63.04%",Warning,"63.04"
DMSPSAP14,"A:","99.96%",Critical,"99.96"
DMSPSAP14,"C:","78.05%",Warning,"78.05"
DMSPSAP14,"D:","67.32%",Warning,"67.32"
DMSPSAP221,"D:","99.77%",Critical,"99.77"
DMSPSAP221,"C:","72.84%",Warning,"72.84"
DMSPSAP30,"E:","99.96%",Critical,"99.96"
DMSPSAP30,"D:","95.89%",Critical,"95.89"
DMSPSAP30,"C:","66.53%",Warning,"66.53"
DMSPSAP60,"F:","99.96%",Critical,"99.96"
DMSPSAP60,"E:","99.81%",Critical,"99.81"
DMSPSAP60,"C:","77.36%",Warning,"77.36"
DMSPSAP61,"E:","99.96%",Critical,"99.96"
DMSPSAP61,"D:","99.81%",Critical,"99.81"
DMSPSAP61,"C:","76.39%",Warning,"76.39"
DMSPSBD101,"F:","95.66%",Critical,"95.66"
DMSPSBD101,"E:","75.73%",Warning,"75.73"
DMSPSBD101,"D:","54.0%",Healthy,54
DMSPSBD101,"C:","29.18%",Healthy,"29.18"
DMSPSBD11,"H:","99.92%",Critical,"99.92"
DMSPSBD11,"I:","99.72%",Critical,"99.72"
DMSPSBD11,"G:","96.79%",Critical,"96.79"
DMSPSBD11,"F:","94.5%",Critical,"94.5"
DMSPSBD11,"D:","33.95%",Healthy,"33.95"
DMSPSBD11,"C:","28.09%",Healthy,"28.09"
DMSPSBD11,"E:","23.54%",Healthy,"23.54"
DMSPSBD111,"F:","68.39%",Warning,"68.39"
DMSPSBD111,"E:","53.11%",Healthy,"53.11"
DMSPSBD111,"D:","29.04%",Healthy,"29.04"
DMSPSBD111,"C:","9.5%",Healthy,"9.5"
DMSPSBD121,"G:","98.28%",Critical,"98.28"
DMSPSBD121,"F:","91.72%",Critical,"91.72"
DMSPSBD121,"D:","63.27%",Warning,"63.27"
DMSPSBD121,"E:","44.44%",Healthy,"44.44"
DMSPSBD121,"C:","21.87%",Healthy,"21.87"
DMSPSBD121,"H:","7.9%",Healthy,"7.9"
DMSPSBD122,"F:","88.93%",Warning,"88.93"
DMSPSBD122,"G:","87.18%",Warning,"87.18"
DMSPSBD122,"D:","52.93%",Healthy,"52.93"
DMSPSBD122,"E:","44.66%",Healthy,"44.66"
DMSPSBD122,"C:","31.66%",Healthy,"31.66"
DMSPSBD122,"H:","7.93%",Healthy,"7.93"
DMSPSBD131,"F:","93.34%",Critical,"93.34"
DMSPSBD131,"D:","89.87%",Warning,"89.87"
DMSPSBD131,"G:","53.15%",Healthy,"53.15"
DMSPSBD131,"E:","30.57%",Healthy,"30.57"
DMSPSBD131,"C:","19.49%",Healthy,"19.49"
DMSPSBD221,"G:","99.73%",Critical,"99.73"
DMSPSBD221,"E:","99.65%",Critical,"99.65"
DMSPSBD221,"F:","99.65%",Critical,"99.65"
DMSPSBD221,"I:","99.63%",Critical,"99.63"
DMSPSBD221,"H:","97.92%",Critical,"97.92"
DMSPSBD221,"D:","79.41%",Warning,"79.41"
DMSPSBD221,"C:","39.92%",Healthy,"39.92"
DMSPSBD231,"G:","99.73%",Critical,"99.73"
DMSPSBD231,"E:","99.44%",Critical,"99.44"
DMSPSBD231,"F:","99.36%",Critical,"99.36"
DMSPSBD231,"C:","51.51%",Healthy,"51.51"
DMSPSBD231,"D:","42.0%",Healthy,42
DMSPSBD30,"F:","99.91%",Critical,"99.91"
DMSPSBD30,"G:","99.81%",Critical,"99.81"
DMSPSBD30,"E:","84.26%",Warning,"84.26"
DMSPSBD30,"D:","70.32%",Warning,"70.32"
DMSPSBD30,"C:","66.65%",Warning,"66.65"
DMSPSBD51,"E:","96.6%",Critical,"96.6"
DMSPSBD51,"D:","84.52%",Warning,"84.52"
DMSPSBD51,"F:","83.45%",Warning,"83.45"
DMSPSBD51,"C:","54.35%",Healthy,"54.35"
DMSPSBD54,"F:","98.74%",Critical,"98.74"
DMSPSBD54,"E:","97.27%",Critical,"97.27"
DMSPSBD54,"D:","80.5%",Warning,"80.5"
DMSPSBD54,"C:","48.7%",Healthy,"48.7"
DMSPSBD55,"E:","98.9%",Critical,"98.9"
DMSPSBD55,"F:","97.46%",Critical,"97.46"
DMSPSBD55,"D:","94.59%",Critical,"94.59"
DMSPSBD55,"C:","52.72%",Healthy,"52.72"
DMSPSBD56,"F:","99.79%",Critical,"99.79"
DMSPSBD56,"E:","97.85%",Critical,"97.85"
DMSPSBD56,"D:","93.06%",Critical,"93.06"
DMSPSBD56,"C:","56.16%",Healthy,"56.16"
DMSPSBD60,"F:","99.91%",Critical,"99.91"
DMSPSBD60,"G:","99.81%",Critical,"99.81"
DMSPSBD60,"D:","99.81%",Critical,"99.81"
DMSPSBD60,"E:","99.47%",Critical,"99.47"
DMSPSBD60,"C:","64.03%",Warning,"64.03"
DMSPSBD61,"E:","99.94%",Critical,"99.94"
DMSPSBD61,"F:","99.89%",Critical,"99.89"
DMSPSBD61,"G:","99.81%",Critical,"99.81"
DMSPSBD61,"D:","98.19%",Critical,"98.19"
DMSPSBD61,"C:","68.43%",Warning,"68.43"
DMSPSBD82,"I:","99.97%",Critical,"99.97"
DMSPSBD82,"F:","99.91%",Critical,"99.91"
DMSPSBD82,"G:","99.76%",Critical,"99.76"
DMSPSBD82,"H:","99.73%",Critical,"99.73"
DMSPSBD82,"D:","94.51%",Critical,"94.51"
DMSPSBD82,"E:","90.45%",Critical,"90.45"
DMSPSBD82,"C:","72.39%",Warning,"72.39"
DMSPSBD91,"F:","85.44%",Warning,"85.44"
DMSPSBD91,"E:","50.52%",Healthy,"50.52"
DMSPSBD91,"D:","29.07%",Healthy,"29.07"
DMSPSBD91,"C:","12.44%",Healthy,"12.44"
DMSPSPR121,"D:","90.22%",Critical,"90.22"
DMSPSPR121,"C:","49.34%",Healthy,"49.34"
DMSPSPR122,"D:","93.12%",Critical,"93.12"
DMSPSPR122,"C:","51.63%",Healthy,"51.63"
DMSPSPR131,"D:","77.64%",Warning,"77.64"
DMSPSPR131,"C:","37.41%",Healthy,"37.41"
DMSPSPR132,"D:","82.99%",Warning,"82.99"
DMSPSPR132,"C:","59.99%",Healthy,"59.99"
DMSPSPR231,"E:","99.73%",Critical,"99.73"
DMSPSPR231,"D:","97.36%",Critical,"97.36"
DMSPSPR231,"C:","60.95%",Warning,"60.95"
DMSPSPR51,"D:","98.24%",Critical,"98.24"
DMSPSPR51,"C:","49.73%",Healthy,"49.73"
DMSPSPR55,"D:","95.93%",Critical,"95.93"
DMSPSPR55,"C:","61.51%",Warning,"61.51"
DMSPSPR56,"D:","92.97%",Critical,"92.97"
DMSPSPR56,"C:","16.3%",Healthy,"16.3"
DMSPSPR61,"E:","99.96%",Critical,"99.96"
DMSPSPR61,"D:","99.81%",Critical,"99.81"
DMSPSPR61,"C:","76.73%",Warning,"76.73"
DMSPSPR91,"D:","80.75%",Warning,"80.75"
DMSPSPR91,"C:","54.4%",Healthy,"54.4"
EMSPSAP05,"C:","59.02%",Healthy,"59.02"
EMSPSAP07,"C:","42.3%",Healthy,"42.3"
EMSPSAP21,"F:","87.79%",Warning,"87.79"
EMSPSAP21,"D:","32.69%",Healthy,"32.69"
EMSPSAP21,"C:","21.48%",Healthy,"21.48"
EMSPSAP22,"D:","80.5%",Warning,"80.5"
EMSPSAP22,"F:","55.63%",Healthy,"55.63"
EMSPSAP22,"C:","18.53%",Healthy,"18.53"
EMSPSBD21,"T:","81.08%",Warning,"81.08"
EMSPSBD21,"D:","71.75%",Warning,"71.75"
EMSPSBD21,"C:","54.14%",Healthy,"54.14"
EMSPSBD21,"F:","42.97%",Healthy,"42.97"
EMSPSBD21,"E:","14.02%",Healthy,"14.02"
EMSPSPR22,"D:","95.72%",Critical,"95.72"
EMSPSPR22,"E:","82.16%",Warning,"82.16"
EMSPSPR22,"C:","39.15%",Healthy,"39.15"
PREMPSPSAP183,"D:","88.59%",Warning,"88.59"
PREMPSPSAP183,"C:","43.82%",Healthy,"43.82"
PREMSPSAP11,"D:","94.31%",Critical,"94.31"
PREMSPSAP11,"C:","75.23%",Warning,"75.23"
PREMSPSAP12,"E:","99.4%",Critical,"99.4"
PREMSPSAP12,"D:","99.05%",Critical,"99.05"
PREMSPSAP12,"C:","64.39%",Warning,"64.39"
PREMSPSAP121,"D:","88.56%",Warning,"88.56"
PREMSPSAP121,"C:","54.5%",Healthy,"54.5"
PREMSPSAP122,"D:","89.19%",Warning,"89.19"
PREMSPSAP122,"C:","58.45%",Healthy,"58.45"
PREMSPSAP123,"D:","85.76%",Warning,"85.76"
PREMSPSAP123,"C:","54.09%",Healthy,"54.09"
PREMSPSAP124,"D:","88.34%",Warning,"88.34"
PREMSPSAP124,"C:","74.08%",Warning,"74.08"
PREMSPSAP13,"E:","88.09%",Warning,"88.09"
PREMSPSAP13,"C:","39.25%",Healthy,"39.25"
