Computer,Disk,DiskPercentageUsed,"Free_Space_Label",LogicalDiskSpacePercentageFreeAverage
ACMDPBD09,"K:","19.63%",Healthy,"19.63"
ACMDPBD09,"E:","18.15%",Healthy,"18.15"
ACMDPBD102,"P:","99.82%",Critical,"99.82"
ACMDPBD102,"I:","96.69%",Critical,"96.69"
ACMDPBD102,"F:","87.49%",Warning,"87.49"
ACMDPBD102,"D:","73.77%",Warning,"73.77"
ACMDPBD102,"C:","62.55%",Warning,"62.55"
ACMDPBD102,"H:","39.16%",Healthy,"39.16"
ACMDPBD102,"J:","34.06%",Healthy,"34.06"
ACMDPBD102,"E:","26.94%",Healthy,"26.94"
ACMDPBD105,"D:","57.37%",Healthy,"57.37"
ACMDPBD105,"C:","29.75%",Healthy,"29.75"
ACMDPBD105,"E:","14.06%",Healthy,"14.06"
ACMDPBD105,"H:","7.3%",Healthy,"7.3"
ACMDPBD115,"N:","94.66%",Critical,"94.66"
ACMDPBD115,"L:","92.02%",Critical,"92.02"
ACMDPBD115,"G:","87.09%",Warning,"87.09"
ACMDPBD115,"M:","77.27%",Warning,"77.27"
ACMDPBD115,"D:","60.83%",Warning,"60.83"
ACMDPBD115,"J:","38.3%",Healthy,"38.3"
ACMDPBD115,"C:","29.41%",Healthy,"29.41"
ACMDPBD115,"I:","25.61%",Healthy,"25.61"
ACMDPBD115,"K:","17.93%",Healthy,"17.93"
ACMDPBD115,"H:","1.78%",Healthy,"1.78"
ACMDPBD115,"P:","0.6%",Healthy,"0.6"
ACMDPBD120,"P:","99.87%",Critical,"99.87"
ACMDPBD120,"R:","99.68%",Critical,"99.68"
ACMDPBD120,"Q:","92.5%",Critical,"92.5"
ACMDPBD120,"F:","85.75%",Warning,"85.75"
ACMDPBD120,"D:","82.18%",Warning,"82.18"
ACMDPBD120,"N:","59.12%",Healthy,"59.12"
ACMDPBD120,"C:","57.24%",Healthy,"57.24"
ACMDPBD120,"G:","43.3%",Healthy,"43.3"
ACMDPBD120,"K:","20.04%",Healthy,"20.04"
ACMDPBD120,"E:","13.99%",Healthy,"13.99"
ACMDPBD120,"I:","13.09%",Healthy,"13.09"
ACMDPBD120,"H:","11.25%",Healthy,"11.25"
ACMDPBD120,"L:","2.85%",Healthy,"2.85"
ACMDPBD120,"M:","2.39%",Healthy,"2.39"
ACMDPBD120,"J:","1.65%",Healthy,"1.65"
ACMDPBD122,"I:","99.93%",Critical,"99.93"
ACMDPBD122,"H:","81.39%",Warning,"81.39"
ACMDPBD122,"D:","68.05%",Warning,"68.05"
ACMDPBD122,"F:","65.81%",Warning,"65.81"
ACMDPBD122,"C:","58.58%",Healthy,"58.58"
ACMDPBD122,"E:","16.22%",Healthy,"16.22"
ACMDPBD123,"H:","92.24%",Critical,"92.24"
ACMDPBD123,"C:","68.8%",Warning,"68.8"
