Computer,BytesSentAverage
PREMSPSAP12,"6680.29"
PREMSPSPR101,"6644.34"
PREMSPSAP11,"6633.22"
PREMSPSAP131,"6612.06"
PREMSPSPR50,"6611.03"
PREMSPSPR131,"6599.04"
PREMSPSBD61,"6598.8"
PREMSPSPR132,"6578.36"
PREMSPSAP61,"6577.65"
DMSPSAP14,"6522.79"
PREMSPSPR55,"6431.32"
ACMDPPR57,"6424.34"
EMSPSAP05,"6309.47"
ACMDPBD95,"6204.69"
PREMSPSAP13,"6184.18"
ACMDPBD37,"6181.83"
PREMSPSPR135,"5781.6"
ACMDPPR222,"5740.32"
ACMDPAP173,"5723.2"
ACMDPPR126,"5546.44"
ACMDPPR15,"5515.84"
PREMSPSBD11,"5422.94"
ACMDPBD35,"5340.4"
PREMSPSPR30,"5320.19"
PREMSPSBD81,"5246.77"
ACMDPBD14,"5180.37"
ACMDPBD202,"5120.02"
ACMDPBD56,"4910.02"
ACMDPPR223,"4904.94"
ACMDPPR111,"4742.16"
ACMDPPR212,"4679.46"
ACMDPBD50,"4646.65"
EMSPSAP22,"4521.17"
ACMDPPR224,"4372.66"
ACMDPBD47,"4306.03"
PREMSPSBD25,"4126.03"
ACMDPBD17,"3948.14"
ACMDPBD151,"3682.6"
ACMDPAP10,"3588.97"
ACMDPBD53,"3549.1"
ACMDPBD123,"3503.34"
ACMDPBD158,"3466.56"
ACMDPBD09,"3424.65"
ACMDPPR211,"3324.57"
EMSPSAP07,"3321.55"
ACMDPAP185,"3179.94"
ACMDPAP99,"3143.03"
ACMDPAP30,"2979.61"
ACMDPPR182,"2969.15"
ACMDPBD212,"2928.61"
ACMDPBD28,"2912.8"
ACMDPBD62,"2809.94"
ACMDPBD66,"2807.15"
ACMDPPR14,"2791.03"
ACMDPAP137,"2762.58"
ACMDPBD68,"2683.23"
ACMDPPR35,"2681.45"
ACMDPPR173,"2643.34"
ACMDPBD72,"2631.65"
ACMDPBD67,"2623.21"
ACMDPPR29,"2616.89"
ACMDPPR217,"2614.67"
ACMDPAP136,"2589.66"
ACMDPAP138,"2505.95"
ACMDPAP42,"2456.78"
ACMDPBD70,"2419.69"
ACMDPPR216,"2396.68"
ACMDPPR125,"2020.12"
ACMDPPR156,"1883.46"
DMSPSPR131,"1678.53"
ACMDPBD69,"1613.51"
ACMDPAP156,"1548.76"
ACMDPAP25,"1521.54"
ACMDPAP28,"1516.98"
ACMDPAP57,"1495.25"
ACMDPAP66,"1494.29"
ACMDPBD73,"1466.38"
ACMDPPR66,"1465.93"
ACMDPPR63,"1405.06"
ACMDPBD54,"1386.69"
ACMDPAP68,"1383.68"
ACMDPPR72,"1371.61"
ACMDPAP127,"1291.8"
ACMDPPR127,"1270.19"
ACMDPPR157,"1249.17"
ACMDPAP54,"1244.66"
ACMDPAP72,"1201.76"
ACMDPPR54,"1196.6"
ACMDPPR09,"1162.73"
ACMDPBD51,"1111.98"
ACMDPAP157,"1087.88"
ACMDPAP61,"805.46"
ACMDPAP62,"628.9"
