Computer,"Total_vCPUS","CPU_Load_Percentage"
ACMDPPR102,8,"64.87689971969563"
ACMDPBD40,16,"58.707106858786055"
ACMDPBD102,16,"40.60919383489647"
ACMDPBD190,16,"31.993361808950997"
PREMSPSPR53,4,"29.963596194690265"
PREMSPSBD133,2,"28.542441103417744"
PREMSPSBD132,2,"27.229664816008505"
ACMDPBD140,16,"26.648286166106494"
ACMDPBD139,16,"26.546305982480973"
PREMSPSBD96,2,"25.121602508231543"
PREMSPSBD50,2,"23.593413924588425"
ACMDPBD137,24,"23.39877349230497"
PREMSPSBD115,2,"23.238719989911505"
ACMDPBD81,36,"20.729902359871684"
ACMDPBD92,24,"20.601005029188038"
PREMSPSBD103,2,"19.17291880428243"
ACMDPPR131,8,"18.36542167115044"
ACMDPPR132,8,"18.054606419925676"
PREMSPSBD53,2,"17.81162612338467"
ACMDPPR101,8,"17.48768458457183"
ACMDPBD136,24,"17.418107363411185"
"az-msps-vm-veea",8,"17.34456996762781"
PREMSPSBD25,2,"17.256996914776757"
ACMDPBD142,16,"16.917349372434536"
PREMSPSBD141,2,"16.596767272920356"
DMSPSBD122,4,"15.34603691078067"
PREMSPSBD122,4,"14.093235975562244"
PREMSPSBD123,4,"13.119092739835947"
ACMDPPR80,24,"11.775337993277908"
PREMSPSBD130,4,"11.055490778643527"
ACMDPBD128,16,"10.60670419869073"
DMSPSBD101,2,"10.014078583997167"
ACMDPBD195,8,"9.908550788356044"
ACMDPBD115,24,"9.846658489030432"
PREMSPSBD61,4,"9.845939852868272"
PREMSPSBD182,16,"9.6430866180949"
ACMDPBD187,16,"9.260076113608212"
DMSPSBD55,2,"9.04904288599752"
DMSPSBD91,2,"8.765391283058948"
PREMSPSBD95,2,"8.552929568041055"
ACMDPBD165,16,"8.27841446965139"
ACMDPPR141,8,"8.277408496726242"
ACMDPBD125,8,"8.193475278485494"
ACMDPPR92,16,"7.805657865180467"
ACMDPPR15,8,"7.510820202088127"
ACMDPBD216,16,"7.47797604794763"
DMSPSAP122,8,"7.359177490442477"
DMSPSPR51,8,"7.288469046202868"
DMSPSPR122,8,"7.2277615616923345"
DMSPSPR231,8,"7.1635703674517455"
ACMDPBD222,16,"7.115910602441614"
ACMDPBD188,16,"7.022138029193206"
DMSPSPR132,8,"7.016473443716815"
PREMSPSBD11,2,"6.962945327964602"
ACMDPPR123,8,"6.953177007080899"
ACMDPAP181,16,"6.8391405211467"
PREMPSPSAP183,4,"6.820918355044248"
DMSPSBD231,4,"6.768858975044249"
PREMSPSBD201,2,"6.766811981589663"
ACMDPBD43,16,"6.7658555511323435"
DMSPSBD51,2,"6.708401096814158"
ACMDPPR138,8,"6.657052709078039"
ACMDPBD175,8,"6.5530230870334325"
DMSPSBD121,4,"6.491676022831857"
ACMDPBD145,8,"6.390558939490446"
ACMDPAP184,16,"6.380900550893964"
DMSPSBD56,2,"6.359048410088495"
ACMDPBD95,8,"6.35313512438075"
ACMDPBD177,8,"6.34723783383472"
ACMDPBD201,8,"6.077790002122765"
DMSPSBD131,4,"6.06699264761062"
DMSPSBD54,2,"5.962355949920369"
ACMDPAP28,8,"5.914525695275173"
ACMDPBD42,16,"5.870052640721741"
ACMDPAP25,8,"5.843650569962851"
ACMDPPR122,8,"5.792558427484967"
ACMDPPR18,8,"5.665769237261146"
ACMDPAP187,16,"5.648408070430013"
ACMDPPR121,8,"5.633079834964002"
ACMDPBD105,8,"5.51760677282378"
ACMDPBD192,8,"5.510333211783439"
ACMDPBD35,8,"5.382444198159943"
DMSPSBD221,4,"5.367513909203539"
ACMDPPR85,24,"5.27377651017159"
ACMDPPR94,16,"5.179427892250531"
ACMDPPR30,16,"5.175737547062987"
ACMDPBD19,8,"5.1733507983014855"
ACMDPPR191,8,"5.153808634707234"
ACMDPAP126,8,"5.082584754600141"
PREMSPSPR182,4,"5.053252448062291"
PREMSPSBD35,4,"5.001022581872898"
ACMDPBD38,16,"4.9573552320891565"
ACMDPPR211,8,"4.864446658230089"
PREMSPSAP81,2,"4.801137881613874"
PREMSPSPR201,4,"4.793820408600248"
PREMSPSPR91,2,"4.78261421840708"
PREMSPSBD73,4,"4.777490451761373"
ACMDPAP174,8,"4.773964548929393"
PREMSPSAP134,4,"4.727336976464343"
DMSPSAP221,8,"4.61021614907932"
PREMSPSPR50,4,"4.605853805486727"
ACMDPBD152,16,"4.505269414897382"
PREMSPSBD185,16,"4.468569166755178"
ACMDPPR126,8,"4.454734409284195"
ACMDPPR35,8,"4.424976617834394"
PREMSPSAP12,4,"4.366651574765529"
ACMDPAP186,16,"4.325888891276864"
ACMDPBD126,16,"4.2793449009200275"
PREMSPSPR141,4,"4.255942383539823"
ACMDPPR173,8,"4.211496743630573"
ACMDPBD53,8,"4.210410306263269"
PREMSPSPR101,4,"4.2060425638938055"
PREMSPSPR134,4,"4.204376599787685"
PREMSPSPR121,4,"4.184424380994515"
ACMDPPR182,8,"4.150330838435674"
DMSPSBD30,4,"4.1332620244291025"
PREMSPSPR131,4,"4.119590043339819"
DMSPSAP131,8,"4.114776758938054"
ACMDPAP156,8,"4.093750587506636"
ACMDPBD82,16,"4.068504146798726"
PREMSPSPR232,4,"4.0302722692035395"
ACMDPBD50,8,"3.9927783767474776"
PREMSPSPR211,4,"3.980135263716815"
ACMDPAP123,8,"3.9419447743762164"
ACMDPPR183,8,"3.9177222751238507"
PREMSPSPR92,2,"3.914387150973451"
ACMDPBD96,16,"3.905777398549443"
ACMDPPR57,16,"3.8978728372257607"
ACMDPBD122,16,"3.8951174260700396"
ACMDPAP124,8,"3.813536416135881"
ACMDPPR96,16,"3.8018654854918617"
PREMSPSPR30,4,"3.7894046936825347"
ACMDPBD212,8,"3.73802533356928"
ACMDPAP185,8,"3.716881842179759"
PREMSPSPR132,4,"3.692995847256637"
ACMDPBD120,16,"3.630320353086856"
ACMDPAP12,24,"3.562694212453565"
ACMDPAP191,8,"3.5443625887866994"
PREMSPSBD128,4,"3.511022737699115"
PREMSPSBD36,4,"3.4965016465486722"
ACMDPPR93,16,"3.4707961875442312"
ACMDPBD46,16,"3.426851540162774"
ACMDPPR111,8,"3.425517731823811"
PREMSPSPR181,4,"3.4167760606972215"
ACMDPBD30,16,"3.3836996863057323"
ACMDPBD14,8,"3.365698410047762"
ACMDPBD167,16,"3.361040837637071"
ACMDPBD202,8,"3.3451499076269693"
ACMDPBD56,8,"3.3409999828379333"
DMSPSBD60,4,"3.318579104070796"
EMSPSBD21,8,"3.3125980773177637"
EMSPSAP21,8,"3.257125646496816"
ACMDPPR174,8,"3.236834177813164"
DMSPSBD61,4,"3.2088827088495573"
PREMSPSBD72,4,"3.1440567676106195"
ACMDPAP173,8,"3.142309138559547"
ACMDPPR14,8,"3.1136560007075884"
ACMDPAP32,8,"3.085780226999292"
ACMDPBD123,16,"3.0837246827110247"
ACMDPBD63,8,"3.0775400555457284"
PREMSPSBD186,16,"3.020961813805309"
ACMDPBD17,8,"3.017499901964254"
ACMDPPR124,8,"2.9828046914366597"
ACMDPBD28,8,"2.9457576360580315"
PREMSPSPR135,4,"2.9287718967605207"
PREMSPSBD81,16,"2.916731619553666"
PREMSPSBD127,4,"2.842553235262878"
PREMSPSAP182,4,"2.7529064616788324"
ACMDPPR140,8,"2.716040417168142"
ACMDPPR09,8,"2.698249197983015"
ACMDPAP57,2,"2.6920676762208067"
ACMDPPR29,16,"2.6805577981520967"
ACMDPPR139,8,"2.6653609870842176"
EMSPSAP07,4,"2.650273464614296"
PREMSPSAP123,4,"2.640549964778761"
ACMDPBD141,16,"2.6031399823102777"
ACMDPBD176,20,"2.5825265806052027"
ACMDPAP03,8,"2.538695555122987"
PREMSPSBD55,4,"2.5383615307644503"
ACMDPBD226,16,"2.5330845824486907"
ACMDPBD62,8,"2.4800226387119606"
PREMSPSBD62,4,"2.4709018371681415"
EMSPSAP05,8,"2.458295881634819"
PREMSPSBD30,16,"2.4325705788635155"
ACMDPAP92,8,"2.42974648443029"
PREMSPSAP121,4,"2.425089375575222"
PREMSPSBD126,16,"2.3923624509734513"
ACMDPAP136,8,"2.3230936854210897"
ACMDPBD23,16,"2.2834145548478415"
ACMDPBD158,8,"2.2728886735705434"
PREMSPSAP122,4,"2.2715648548672567"
ACMDPBD151,16,"2.2621286328733192"
DMSPSPR56,8,"2.2113161711807403"
ACMDPAP10,8,"2.183528615602335"
