Computer,"Total_vCPUS","CPU_Load_Percentage"
PREMSPSPR53,4,"26.78618"
ACMDPBD190,16,"20.349263"
"az-msps-vm-veea",8,"12.117714"
ACMDPPR102,8,"10.62809"
ACMDPBD102,16,"9.292166"
DMSPSBD122,4,"8.252288"
ACMDPBD128,16,"5.888996"
PREMSPSBD50,2,"5.507536"
PREMSPSBD103,2,"5.408383"
ACMDPPR15,8,"5.324768"
PREMSPSBD141,2,"5.212255"
ACMDPBD40,16,"5.207527"
PREMPSPSAP183,4,"4.343849"
PREMSPSBD96,2,"4.195993"
ACMDPPR132,8,"4.096624"
ACMDPPR18,8,"4.089051"
ACMDPBD145,8,"4.081774"
ACMDPAP28,8,"4.066075"
ACMDPAP25,8,"4.023421"
ACMDPBD35,8,"3.913016"
DMSPSBD101,2,"3.877189"
PREMSPSBD182,16,"3.806801"
PREMSPSBD95,2,"3.768504"
ACMDPPR138,8,"3.73089"
ACMDPPR85,24,"3.476549"
ACMDPPR35,8,"3.304027"
ACMDPBD125,8,"3.138011"
ACMDPPR122,8,"3.094313"
ACMDPPR211,8,"3.093594"
DMSPSBD91,2,"2.961297"
ACMDPBD187,16,"2.863535"
PREMSPSBD11,2,"2.798033"
ACMDPAP186,16,"2.774952"
PREMSPSBD201,2,"2.771072"
DMSPSBD131,4,"2.712456"
PREMSPSBD61,4,"2.630999"
DMSPSBD231,4,"2.472225"
ACMDPBD137,24,"2.395833"
ACMDPBD96,16,"2.347094"
ACMDPPR94,16,"2.289067"
ACMDPBD82,16,"2.211636"
DMSPSBD121,4,"2.179024"
ACMDPBD167,16,"2.103272"
PREMSPSBD185,16,"2.087235"
PREMSPSBD35,4,"2.082081"
ACMDPBD42,16,"2.058815"
ACMDPBD139,16,"2.047592"
ACMDPBD201,8,"2.006924"
ACMDPBD17,8,"1.973271"
DMSPSBD55,2,"1.959523"
ACMDPBD188,16,"1.926682"
ACMDPBD165,16,"1.888025"
ACMDPBD140,16,"1.883872"
ACMDPBD177,8,"1.764727"
ACMDPBD175,8,"1.753325"
ACMDPBD226,16,"1.681146"
DMSPSBD56,2,"1.675022"
ACMDPBD95,8,"1.646968"
ACMDPBD126,16,"1.641813"
DMSPSBD221,4,"1.619598"
ACMDPBD92,24,"1.578427"
ACMDPBD63,8,"1.576303"
ACMDPPR57,16,"1.56217"
ACMDPBD38,16,"1.546468"
PREMSPSAP12,4,"1.538089"
PREMSPSPR182,4,"1.52997"
DMSPSBD51,2,"1.511815"
DMSPSBD54,2,"1.511699"
PREMSPSBD36,4,"1.502605"
PREMSPSAP81,2,"1.48375"
ACMDPBD123,16,"1.483598"
DMSPSPR132,8,"1.482662"
ACMDPAP174,8,"1.476134"
ACMDPBD192,8,"1.47506"
DMSPSPR122,8,"1.461307"
PREMSPSBD73,4,"1.451587"
ACMDPBD216,16,"1.44351"
PREMSPSPR101,4,"1.436998"
ACMDPBD176,20,"1.421397"
ACMDPPR174,8,"1.381812"
PREMSPSPR141,4,"1.380695"
PREMSPSPR30,4,"1.361764"
ACMDPBD62,8,"1.350269"
ACMDPBD105,8,"1.349993"
PREMSPSPR50,4,"1.348342"
PREMSPSBD128,4,"1.32744"
PREMSPSPR211,4,"1.31273"
PREMSPSAP134,4,"1.26914"
PREMSPSBD127,4,"1.26491"
PREMSPSPR121,4,"1.235441"
EMSPSBD21,8,"1.21909"
ACMDPPR30,16,"1.21084"
ACMDPAP32,8,"1.207104"
PREMSPSPR232,4,"1.197385"
DMSPSBD11,8,"1.193428"
ACMDPBD30,16,"1.178473"
ACMDPBD230,16,"1.142153"
ACMDPBD50,8,"1.122063"
PREMSPSBD72,4,"1.114482"
PREMSPSPR201,4,"1.108566"
ACMDPBD115,24,"1.097725"
PREMSPSPR131,4,"1.095203"
PREMSPSPR132,4,"1.094758"
ACMDPBD136,24,"1.092714"
DMSPSBD60,4,"1.087708"
ACMDPPR101,8,"1.085284"
DMSPSAP221,8,"1.08243"
PREMSPSBD55,4,"1.076639"
PREMSPSPR134,4,"1.073066"
ACMDPBD120,16,"1.07228"
DMSPSBD30,4,"1.061752"
ACMDPPR182,8,"1.034666"
DMSPSBD61,4,"1.022487"
PREMSPSBD62,4,"1.01163"
PREMSPSPR181,4,"1.010338"
ACMDPAP12,24,"1.000923"
PREMSPSPR135,4,"0.97416"
ACMDPAP156,8,"0.931266"
ACMDPPR191,8,"0.905796"
PREMSPSAP122,4,"0.893838"
ACMDPBD53,8,"0.893714"
PREMSPSPR91,2,"0.891317"
PREMSPSAP121,4,"0.889855"
PREMSPSBD25,2,"0.881082"
PREMSPSAP123,4,"0.848541"
ACMDPPR121,8,"0.846706"
ACMDPPR216,16,"0.842544"
DMSPSAP131,8,"0.834667"
ACMDPAP181,16,"0.809464"
ACMDPBD19,8,"0.806853"
ACMDPAP03,8,"0.800132"
ACMDPPR173,8,"0.790706"
EMSPSAP21,8,"0.775921"
ACMDPBD37,16,"0.774502"
ACMDPBD56,8,"0.760547"
PREMSPSPR92,2,"0.758303"
ACMDPAP136,8,"0.751607"
ACMDPBD142,16,"0.746965"
EMSPSAP05,8,"0.736463"
acmdpap200,8,"0.735099"
ACMDPBD225,16,"0.730825"
ACMDPAP99,8,"0.729453"
ACMDPPR123,8,"0.729275"
DMSPSPR231,8,"0.726804"
ACMDPAP125,8,"0.723322"
ACMDPPR212,8,"0.721691"
ACMDPPR124,8,"0.718267"
ACMDPBD166,16,"0.715741"
ACMDPPR111,8,"0.714217"
ACMDPBD14,8,"0.70679"
ACMDPAP123,8,"0.69477"
ACMDPPR131,8,"0.693795"
ACMDPAP173,8,"0.682677"
ACMDPPR09,8,"0.672996"
PREMSPSBD130,4,"0.672612"
ACMDPBD28,8,"0.66469"
ACMDPBD122,16,"0.663813"
ACMDPBD151,16,"0.66304"
ACMDPAP137,8,"0.650165"
EMSPSAP22,8,"0.649063"
ACMDPAP57,2,"0.647855"
ACMDPAP54,16,"0.63565"
ACMDPAP191,8,"0.620998"
ACMDPAP138,8,"0.620263"
ACMDPAP29,16,"0.618901"
ACMDPPR93,16,"0.606264"
ACMDPBD57,16,"0.597421"
ACMDPBD220,16,"0.583109"
ACMDPBD202,8,"0.580288"
ACMDPAP10,8,"0.552408"
ACMDPPR42,8,"0.536985"
ACMDPAP124,8,"0.53538"
ACMDPPR80,24,"0.53135"
ACMDPPR14,8,"0.52069"
ACMDPPR139,8,"0.51708"
PREMSPSBD30,16,"0.512659"
ACMDPAP157,8,"0.499041"
ACMDPPR126,8,"0.497388"
ACMDPPR92,16,"0.491663"
DMSPSPR91,8,"0.488767"
ACMDPBD223,16,"0.481928"
ACMDPBD127,16,"0.47029"
PREMSPSPR62,4,"0.468165"
PREMSPSBD183,16,"0.449896"
PREMSPSAP62,4,"0.449582"
PREMSPSPR231,4,"0.44958"
ACMDPBD222,16,"0.448393"
DMSPSPR121,8,"0.446416"
EMSPSAP07,4,"0.442151"
DMSPSPR55,8,"0.439746"
PREMSPSPR65,4,"0.430971"
ACMDPAP42,8,"0.430865"
ACMDPPR96,16,"0.429242"
ACMDPBD157,8,"0.42838"
ACMDPBD81,36,"0.42263"
PREMSPSAP182,4,"0.418822"
ACMDPBD68,8,"0.414129"
ACMDPAP122,16,"0.40881"
PREMSPSAP65,4,"0.406989"
ACMDPAP30,16,"0.393882"
PREMSPSAP124,4,"0.391571"
ACMDPPR125,8,"0.389516"
PREMSPSBD126,16,"0.376861"
PREMSPSAP61,4,"0.371601"
PREMSPSAP131,4,"0.367597"
PREMSPSPR123,4,"0.355241"
ACMDPBD23,16,"0.350753"
PREMSPSPR124,4,"0.350318"
DMSPSBD111,8,"0.349155"
ACMDPBD213,16,"0.346535"
PREMSPSBD232,16,"0.329006"
ACMDPPR222,16,"0.326115"
ACMDPPR83,24,"0.318806"
PREMSPSAP11,4,"0.313558"
ACMDPPR76,8,"0.300104"
ACMDPAP61,8,"0.297875"
PREMSPSPR55,4,"0.295335"
ACMDPBD09,16,"0.291763"
DMSPSAP122,8,"0.28242"
DMSPSPR131,8,"0.279591"
ACMDPAP185,8,"0.274239"
ACMDPPR224,16,"0.26869"
DMSPSAP61,8,"0.265802"
PREMSPSBD40,16,"0.262765"
DMSPSPR56,8,"0.260754"
ACMDPPR223,16,"0.258755"
DMSPSBD82,8,"0.258253"
PREMSPSBD63,16,"0.248161"
ACMDPBD70,8,"0.23681"
DMSPSAP60,8,"0.230657"
EMSPSPR22,8,"0.229224"
PREMSPSBD70,16,"0.22564"
PREMSPSAP13,4,"0.218808"
DMSPSPR61,8,"0.216192"
ACMDPPR63,8,"0.204263"
DMSPSAP14,8,"0.202899"
ACMDPPR156,16,"0.196886"
ACMDPBD69,8,"0.193711"
ACMDPPR217,16,"0.192019"
ACMDPAP62,8,"0.177847"
ACMDPPR54,16,"0.158814"
PREMSPSBD231,16,"0.146948"
PREMSPSAP40,16,"0.123621"
ACMDPBD73,16,"0.107038"
PREMSPSPR66,16,"0.08845"
ACMDPPR127,8,"0.052394"
ACMDPBD51,8,"0.01885"
ACMDPBD54,16,"0.014563"
ACMDPPR157,16,"0.013862"
ACMDPAP66,8,0
ACMDPBD67,8,0
ACMDPBD72,16,0
ACMDPPR53,16,0
PREMSPSBD53,2,0
DMSPSPR51,8,0
ACMDPAP187,16,0
ACMDPAP183,16,0
ACMDPPR66,8,0
ACMDPPR140,8,0
ACMDPBD43,16,0
ACMDPBD46,16,0
ACMDPPR141,8,0
"vm-msps-prod-ap",4,0
PREMSPSBD122,4,0
ACMDPPR29,16,0
ACMDPAP121,16,0
ACMDPBD29,16,0
ACMDPBD47,16,0
PREMSPSBD186,16,0
DMSPSAP30,8,0
ACMDPPR183,8,0
